gene,chrom,pstart,pend,strand,mean5mC,n_cpg
Zc2hc1b,NC_086019.1,9383215,9387215,-,0.862100046904315,63
Ltv1,NC_086019.1,9396557,9400557,-,0.425473831189206,96
Phactr2,NC_086019.1,9678648,9682648,-,0.305267119631158,135
Fuca2,NC_086019.1,9704121,9708121,+,0.4346698,65
Pex3,NC_086019.1,9772479,9776479,-,0.155142213937482,69
Adat2,NC_086019.1,9772680,9776680,+,0.164398019241653,70
Aig1,NC_086019.1,10087454,10091454,-,0.214267823103317,117
Hivep2,NC_086019.1,10174880,10178880,+,0.0977877290719837,189
C1h3orf38,NC_086019.1,10503215,10507215,-,0.856289806066633,42
Adgrg6,NC_086019.1,10772685,10776685,-,0.334201126080836,151
Vta1,NC_086019.1,10898764,10902764,-,0.169286581352834,65
Gje1,NC_086019.1,10909800,10913800,-,0.822744156862745,36
Nmbr,NC_086019.1,10940476,10944476,+,0.763883783783784,18
Cited2,NC_086019.1,14130303,14134303,+,0.0679857317073171,210
LOC134484954,NC_086019.1,14212759,14216759,+,0.907281728933733,124
LOC134484953,NC_086019.1,14215415,14219415,+,0.899975870069605,142
Txlnb,NC_086019.1,14222647,14226647,+,0.672980024711697,83
LOC120098792,NC_086019.1,14260812,14264812,-,0.766796848739496,42
Heca,NC_086019.1,14393226,14397226,-,0.204982651796778,195
Abracl,NC_086019.1,14482992,14486992,-,0.191081802924958,109
Reps1,NC_086019.1,14515589,14519589,+,0.147487900110375,182
Ect2l,NC_086019.1,14675321,14679321,-,0.901126921010209,89
Ccdc28a,NC_086019.1,14690729,14694729,-,0.254361104651163,83
Nhsl1,NC_086019.1,14773874,14777874,+,0.225065799656062,192
Hebp2,NC_086019.1,15019523,15023523,-,0.371340635179153,99
LOC134482570,NC_086019.1,15035973,15039973,-,0.860339873035067,68
Arfgef3,NC_086019.1,15221742,15225742,-,0.389229547991071,87
Smokl1,NC_086019.1,15271828,15275828,-,0.849762744186046,55
Perp,NC_086019.1,15359784,15363784,+,0.410044417767107,118
Tnfaip3,NC_086019.1,15541993,15545993,-,0.286056251460622,104
Olig3,NC_086019.1,15898881,15902881,+,0.78148380928098,129
Ifngr1,NC_086019.1,16150811,16154811,+,0.227183391853932,100
Il22ra2,NC_086019.1,16170238,16174238,+,0.859064205816555,89
Il20ra,NC_086019.1,16241683,16245683,+,0.890985317577548,94
LOC102547604,NC_086019.1,16482729,16486729,-,0.874949069212411,75
Slc35d3,NC_086019.1,16390780,16394780,-,0.336128492071508,230
Pex7,NC_086019.1,16464304,16468304,-,0.381932018296169,97
Map3k5,NC_086019.1,16503387,16507387,+,0.139245254172506,235
Map7,NC_086019.1,16728000,16732000,+,0.356158588455247,214
Bclaf1,NC_086019.1,16902572,16906572,+,0.39278609143593,39
Mtfr2,NC_086019.1,16940814,16944814,+,0.194077135540516,148
Pde7b,NC_086019.1,17310828,17314828,-,0.560292863475178,71
LOC134484962,NC_086019.1,17283180,17287180,-,0.842513774671053,69
Ahi1,NC_086019.1,17578859,17582859,+,0.22098754858412,139
Myb,NC_086019.1,17791306,17795306,-,0.212184421826407,172
Hbs1l,NC_086019.1,17910139,17914139,+,0.218254619015509,121
Aldh8a1,NC_086019.1,18001507,18005507,+,0.760573968934119,49
LOC134484852,NC_086019.1,18067868,18071868,-,0.695156257744734,19
Themis,NC_086019.1,18481851,18485851,-,0.85165704652731,34
Ptprk,NC_086019.1,19054297,19058297,-,0.088378216704289,187
Lama2,NC_086019.1,19490126,19494126,+,0.605254155955441,54
Arhgap18,NC_086019.1,20454827,20458827,-,0.728553186151531,62
LOC120097699,NC_086019.1,20568994,20572994,+,0.90982403655145,73
Rbs10l2,NC_086019.1,20765602,20769602,+,0.838897515968772,49
L3mbtl3,NC_086019.1,20805679,20809679,+,0.163996218487396,222
Samd3,NC_086019.1,20965595,20969595,-,0.796032246077622,45
Tpt1l3,NC_086019.1,20924845,20928845,+,0.750012745098039,4
Tmem200a,NC_086019.1,21140500,21144500,+,0.122882397782398,132
Smlr1,NC_086019.1,21654720,21658720,+,0.750591252955083,34
Epb41l2,NC_086019.1,21855106,21859106,-,0.170797246175243,165
Akap7,NC_086019.1,21904503,21908503,+,0.36208534863195,140
Arg1,NC_086019.1,22293093,22297093,+,0.350987105038429,51
Med23,NC_086019.1,22375745,22379745,-,0.752252663076003,55
Enpp3,NC_086019.1,22380717,22384717,+,0.403969814731134,62
Enpp1,NC_086019.1,22516051,22520051,+,0.186807387057387,120
Ccn2,NC_086019.1,22622614,22626614,-,0.138374685507496,122
Moxd1,NC_086019.1,22982599,22986599,-,0.793170503597123,54
Stx7,NC_086019.1,23054579,23058579,-,0.448501992481203,86
Rps29,NC_086019.1,23079361,23083361,-,0.875048491970231,45
Taar9,NC_086019.1,23092225,23096225,+,0.747622182680902,69
Taar8c,NC_086019.1,23105601,23109601,+,0.736841214574899,28
Taar8b,NC_086019.1,23120214,23124214,+,0.737586963882619,45
Taar8a,NC_086019.1,23151137,23155137,-,0.62841693989071,20
Taar7h,NC_086019.1,23191819,23195819,-,0.558691568163909,19
Taar7g,NC_086019.1,23205686,23209686,-,0.720507125890736,24
Taar7e,NC_086019.1,23220040,23224040,-,0.749996008403362,25
Taar7d,NC_086019.1,23227649,23231649,-,0.700698909811695,29
Taar7c,NC_086019.1,23247688,23251688,-,0.780108845208845,30
Taar7b,NC_086019.1,23259154,23263154,-,0.716206859448554,31
Taar7a,NC_086019.1,23268177,23272177,+,0.807150761954808,50
Taar6,NC_086019.1,23275717,23279717,+,0.79780589254766,66
Taar5,NC_086019.1,23288176,23292176,-,0.708408699808795,53
Taar4,NC_086019.1,23299331,23303331,-,0.812577135571611,68
Taar3,NC_086019.1,23309804,23313804,-,0.513153863195791,69
Taar2,NC_086019.1,23321495,23325495,-,0.804097899364924,36
Taar1,NC_086019.1,23335976,23339976,-,0.846760143884892,48
Vnn1,NC_086019.1,23364629,23368629,-,0.54462245681382,46
Vnn3,NC_086019.1,23400858,23404858,-,0.841758058823529,46
Slc18b1,NC_086019.1,23488043,23492043,-,0.341671607142857,65
Rps12,NC_086019.1,23497943,23501943,+,0.141817501406866,129
Eya4,NC_086019.1,23989431,23993431,+,0.181593404167241,140
Tcf21,NC_086019.1,24518499,24522499,+,0.797111505154639,81
Tbpl1,NC_086019.1,24595028,24599028,+,0.272887112584691,185
Slc2a12,NC_086019.1,24681577,24685577,-,0.722584677419355,17
Sgk1,NC_086019.1,24914886,24918886,-,0.877373797999355,77
1700020N01Rikl,NC_086019.1,25212458,25216458,-,0.839034076275384,50
Clvs2,NC_086019.1,25551981,25555981,+,0.779203125,84
Trdn,NC_086019.1,26228069,26232069,-,0.615968745247148,25
Nkain2,NC_086019.1,26486381,26490381,+,0.242343916570104,135
LOC108349071,NC_086019.1,27102934,27106934,+,0.515045206766917,22
Rnf217,NC_086019.1,27833741,27837741,+,0.151752482151752,203
Tpd52l1,NC_086019.1,27989114,27993114,+,0.293686697965571,89
Hddc2,NC_086019.1,28131008,28135008,-,0.456914382091383,84
Hey2,NC_086019.1,28639100,28643100,+,0.20263706946039,175
Ncoa7,NC_086019.1,28672614,28676614,+,0.142077456828885,147
Hint3,NC_086019.1,28852860,28856860,+,0.238915939904727,77
Trmt11,NC_086019.1,28871361,28875361,+,0.275880761636107,88
Cenpw,NC_086019.1,29351939,29355939,+,0.273807926829268,70
Rspo3,NC_086019.1,30110529,30114529,+,0.545271166098681,124
Rnf146,NC_086019.1,30284680,30288680,+,0.0868006446776611,136
Echdc1,NC_086019.1,30353957,30357957,-,0.740452229299363,14
Kiaa0408L,NC_086019.1,30467195,30471195,-,0.788827763975155,33
Mtcl3,NC_086019.1,30528205,30532205,-,0.402228423988842,89
Leg1,NC_086019.1,30626501,30630501,+,0.540649102428722,18
Zfp502,NC_086019.1,30710974,30714974,+,0.755365739130435,62
Lrrc14b,NC_086019.1,30746103,30750103,+,0.84637430269776,48
Ccdc127,NC_086019.1,30762473,30766473,-,0.180568171428571,80
Sdha,NC_086019.1,30762553,30766553,+,0.180568171428571,80
Pdcd6,NC_086019.1,30793105,30797105,+,0.300247597334269,71
Ahrr,NC_086019.1,30820219,30824219,+,0.605199372384937,73
LOC134485273,NC_086019.1,30888962,30892962,-,0.869927762237762,40
Exoc3,NC_086019.1,30917871,30921871,+,0.235367102546456,69
Slc9a3,NC_086019.1,30994209,30998209,-,0.540050350834745,90
Cep72,NC_086019.1,31051884,31055884,+,0.286013767895218,71
Tppp,NC_086019.1,31107703,31111703,-,0.182435445544555,130
Zdhhc11,NC_086019.1,31154075,31158075,-,0.768461077844311,45
Brd9,NC_086019.1,31183812,31187812,-,0.189224977071232,118
Trip13,NC_086019.1,31183700,31187700,+,0.183879635914841,117
Nkd2,NC_086019.1,31266856,31270856,+,0.816550673508659,48
Slc12a7,NC_086019.1,31380825,31384825,-,0.557109789473684,110
Slc6a19,NC_086019.1,31412744,31416744,+,0.767236348593491,50
Slc6a18,NC_086019.1,31434577,31438577,+,0.761031460084034,45
Tert,NC_086019.1,31486650,31490650,-,0.42418321299639,101
Clptm1l,NC_086019.1,31510148,31514148,-,0.235111631513647,114
Slc6a3,NC_086019.1,31576962,31580962,-,0.544399090247453,108
Lpcat1,NC_086019.1,31642946,31646946,-,0.115792611499194,114
Mrpl36,NC_086019.1,31795446,31799446,-,0.364809398663697,85
Ndufs6,NC_086019.1,31795400,31799400,+,0.364809398663697,85
Irx4,NC_086019.1,31866089,31870089,-,0.827031113567284,134
Irx2,NC_086019.1,32492930,32496930,-,0.168685246540635,253
Irx1,NC_086019.1,33121122,33125122,+,0.930990116091584,206
Adamts16,NC_086019.1,34256899,34260899,+,0.710389316239316,78
Ice1,NC_086019.1,34466839,34470839,+,0.169037204121415,115
Med10,NC_086019.1,35308163,35312163,-,0.320607135678392,29
Ube2ql1,NC_086019.1,35375264,35379264,+,0.255797601026299,231
Nsun2,NC_086019.1,35512839,35516839,-,0.17899930013459,141
Srd5a1,NC_086019.1,35512914,35516914,+,0.187943668701885,143
Tent4a,NC_086019.1,35592380,35596380,+,0.103478714515265,312
Adcy2,NC_086019.1,36202054,36206054,+,0.590191662003358,150
LOC100362709,NC_086019.1,36548113,36552113,+,0.457419242902208,23
Cfap90,NC_086019.1,36676303,36680303,-,0.446187713004484,54
Fastkd3,NC_086019.1,36693376,36697376,-,0.274814525547445,114
Mtrr,NC_086019.1,36693376,36697376,+,0.274814525547445,114
Zfp455l1,NC_086019.1,36771283,36775283,-,0.500005702583491,68
Zfp972,NC_086019.1,36815718,36819718,-,0.32986632034632,36
Zfp874b,NC_086019.1,36840705,36844705,-,0.459740964419476,43
Zfp58,NC_086019.1,36859605,36863605,-,0.488431265386509,48
LOC102547287,NC_086019.1,36890421,36894421,-,0.2502497002997,42
Zfp748,NC_086019.1,36917795,36921795,-,0.393670199587061,54
Zfp729b,NC_086019.1,36963484,36967484,-,0.411536977980258,34
Zfp729,NC_086019.1,37005812,37009812,-,0.851953770949721,16
LOC134482591,NC_086019.1,38218869,38222869,+,0.859752280490255,89
LOC134484986,NC_086019.1,38733835,38737835,-,0.895858081471748,71
LOC134484987,NC_086019.1,39819049,39823049,+,0.90428114678899,118
Cd99l3,NC_086019.1,41719983,41723983,+,0.523768155893536,31
LOC120100095,NC_086019.1,42074792,42078792,-,0.645100924608819,27
Ppp1r14c,NC_086019.1,42175977,42179977,+,0.778548124243647,55
Iyd,NC_086019.1,42408099,42412099,+,0.663041666666666,43
Plekhg1,NC_086019.1,42610023,42614023,+,0.595603537572254,108
Cycsl1,NC_086019.1,42796008,42800008,+,0.5070025,23
Mthfd1l,NC_086019.1,42847424,42851424,+,0.139833651829411,99
Akap12,NC_086019.1,43133515,43137515,+,0.481488272921109,128
Zbtb2,NC_086019.1,43250115,43254115,-,0.129144253205499,272
Zbtb2l,NC_086019.1,43263252,43267252,-,0.787496307460437,39
Rmnd1,NC_086019.1,43297748,43301748,-,0.205870853146853,110
Armt1,NC_086019.1,43297916,43301916,+,0.200334960496614,109
Ccdc170,NC_086019.1,43349010,43353010,+,0.816410598290599,64
Esr1,NC_086019.1,43509685,43513685,+,0.679424289855073,54
Syne1,NC_086019.1,44386802,44390802,-,0.563066291291291,77
Myct1,NC_086019.1,44421478,44425478,+,0.191465084473049,34
Vip,NC_086019.1,44468232,44472232,+,0.445334520884521,45
Fbxo5,NC_086019.1,44605781,44609781,-,0.156919194251989,146
Mtrf1l,NC_086019.1,44624367,44628367,-,0.183162085962145,107
Rgs17,NC_086019.1,44727957,44731957,-,0.847853717791411,129
Rpl27l6,NC_086019.1,44944797,44948797,-,0.367595972579263,36
Oprm1,NC_086019.1,45563371,45567371,+,0.384087248840804,34
Ipcef1,NC_086019.1,45855045,45859045,-,0.798901432806324,43
Cnksr3,NC_086019.1,45994921,45998921,-,0.122098200442968,149
Scaf8,NC_086019.1,46130972,46134972,+,0.0996808828764685,194
Tiam2,NC_086019.1,46321450,46325450,+,0.188991510903427,123
Tfb1m,NC_086019.1,46565004,46569004,-,0.298492192046557,103
Cldn20,NC_086019.1,46537039,46541039,+,0.917079428341385,66
Nox3,NC_086019.1,46706109,46710109,-,0.532989974619289,39
Arid1b,NC_086019.1,47971199,47975199,+,0.108244769620253,254
Tmem242,NC_086019.1,48422639,48426639,-,0.245982719546742,65
Ldhal6b,NC_086019.1,48402420,48406420,-,0.808589129578574,62
Zdhhc14,NC_086019.1,48471860,48475860,+,0.0971076373626374,219
Snx9,NC_086019.1,48825061,48829061,+,0.823180741869919,62
Synj2,NC_086019.1,48921742,48925742,+,0.351637616538306,152
Serac1,NC_086019.1,49059853,49063853,-,0.219163335046249,103
Gtf2h5,NC_086019.1,49059904,49063904,+,0.219163335046249,103
Tulp4,NC_086019.1,49080492,49084492,+,0.755391827468785,42
Tmem181,NC_086019.1,49233923,49237923,+,0.29773419459023,110
Dynlt1,NC_086019.1,49297051,49301051,-,0.253929117291415,100
Sytl3,NC_086019.1,49298935,49302935,+,0.550806293706294,58
Ezr,NC_086019.1,49414573,49418573,-,0.137115142118863,174
Rsph3,NC_086019.1,49563740,49567740,-,0.759382475884245,40
Tagap,NC_086019.1,49582747,49586747,-,0.720167555040556,71
Tecrl2,NC_086019.1,49667780,49671780,-,0.823078416289593,55
Fndc1,NC_086019.1,49684856,49688856,+,0.585204981273408,146
Sod2,NC_086019.1,50048168,50052168,-,0.190875112275449,133
Wtap,NC_086019.1,50068973,50072973,+,0.0929408891523413,175
Acat2,NC_086019.1,50098840,50102840,+,0.219980805163921,95
Acat2l1,NC_086019.1,50339596,50343596,+,0.551115077319588,74
Tcp1,NC_086019.1,50382527,50386527,-,0.140772430162498,131
Mrpl18,NC_086019.1,50382951,50386951,+,0.167053232413179,134
Pnldc1,NC_086019.1,50388884,50392884,+,0.889834840667678,75
Mas1l,NC_086019.1,50425730,50429730,-,0.694726081802015,58
Mas1,NC_086019.1,50426064,50430064,+,0.696365090909091,57
Igf2r,NC_086019.1,50524878,50528878,+,0.915455467479674,146
Slc22a1,NC_086019.1,50622339,50626339,+,0.919831757451182,50
Slc22a2,NC_086019.1,50709019,50713019,-,0.900595266272189,60
Slc22a3,NC_086019.1,50781218,50785218,+,0.840347418619117,110
Plg,NC_086019.1,50913406,50917406,-,0.878310088272384,77
Map3k4,NC_086019.1,50975870,50979870,+,0.234176963657679,92
Agpat4,NC_086019.1,51179548,51183548,-,0.254414260869565,99
Prkn,NC_086019.1,52428242,52432242,-,0.277502512212143,123
Pacrg,NC_086019.1,52428390,52432390,+,0.278738761145003,122
Qki,NC_086019.1,52933357,52937357,+,0.0700356022267206,368
Pabpc6,NC_086019.1,53590902,53594902,+,0.814431395348838,99
MGC94891,NC_086019.1,54309640,54313640,-,0.79189358974359,71
Pde10a,NC_086019.1,54763668,54767668,-,0.854612903225806,106
Tbxt,NC_086019.1,54857340,54861340,-,0.654856965174129,49
T2,NC_086019.1,54930332,54934332,-,0.568950416933932,58
Prr18,NC_086019.1,54949558,54953558,-,0.257326993984087,163
Sft2d1,NC_086019.1,54971143,54975143,-,0.188164294899271,71
Mpc1,NC_086019.1,54994979,54998979,-,0.152052192164179,146
Ccr6,NC_086019.1,55053857,55057857,-,0.389373816425121,33
Cep43,NC_086019.1,55109509,55113509,-,0.233026129256428,111
LOC134484998,NC_086019.1,55121896,55125896,+,0.661348776323279,49
Rnaset2,NC_086019.1,55131532,55135532,+,0.214488888888889,95
Rps6ka2,NC_086019.1,55176988,55180988,+,0.612453815261044,61
Gpr31,NC_086019.1,55473443,55477443,-,0.490412633073102,52
Tcp10b,NC_086019.1,55483354,55487354,+,0.247366421052632,30
Ttll2,NC_086019.1,55522240,55526240,-,0.398221730580138,42
Unc93a,NC_086019.1,55559346,55563346,-,0.486051792828685,22
LOC134478836,NC_086019.1,55714497,55718497,-,0.41410981595092,23
LOC134484999,NC_086019.1,55759298,55763298,-,0.478499139784946,26
LOC134485001,NC_086019.1,55893964,55897964,-,0.499993267108168,26
LOC120093090,NC_086019.1,55995357,55999357,-,0.513697653194263,27
LOC120100105,NC_086019.1,56133565,56137565,-,0.483751626591231,25
LOC120093081,NC_086019.1,56231429,56235429,-,0.459781903485255,25
Afdnl1,NC_086019.1,56387941,56391941,-,0.591620193548387,33
LOC134485002,NC_086019.1,56429049,56433049,+,0.669397766195086,29
LOC134478818,NC_086019.1,56458948,56462948,+,0.595972057553957,43
LOC134482751,NC_086019.1,56473598,56477598,+,0.645866192063011,39
LOC134482773,NC_086019.1,56658930,56662930,-,0.449427431906615,29
LOC134482784,NC_086019.1,56783733,56787733,-,0.494107843137255,24
LOC134482794,NC_086019.1,56888065,56892065,-,0.47744774535809,27
LOC134482790,NC_086019.1,56979718,56983718,+,0.560578102189781,31
LOC102551311,NC_086019.1,57024859,57028859,+,0.621056408668731,38
LOC134485003,NC_086019.1,57251645,57255645,+,0.489432326283988,19
LOC134485004,NC_086019.1,57320666,57324666,+,0.41474400921659,24
LOC134485006,NC_086019.1,57471669,57475669,+,0.463414490674319,29
Smok2al2,NC_086019.1,57512577,57516577,+,0.576204199066874,41
Smok2a,NC_086019.1,57701104,57705104,+,0.497224376731302,21
Smok2al1,NC_086019.1,57839320,57843320,+,0.655253684210526,26
Afdn,NC_086019.1,58039065,58043065,+,0.109446876529114,256
LOC120100104,NC_086019.1,58216426,58220426,+,0.695402873563219,30
Vom2r7,NC_086019.1,58426784,58430784,+,0.413004715447154,23
Vom1r1,NC_086019.1,58678443,58682443,-,0.268787479131887,14
Vom2r8,NC_086019.1,58820629,58824629,+,0.25693677581864,8
Vom2r9,NC_086019.1,58992588,58996588,+,0.359621428571429,7
Smokyl,NC_086019.1,59119653,59123653,+,0.599526698450536,25
LOC134482834,NC_086019.1,59265165,59269165,+,0.612705303558967,32
LOC134482835,NC_086019.1,59371034,59375034,+,0.640341919805589,43
LOC134482847,NC_086019.1,59383053,59387053,+,0.480436578707916,29
LOC134482841,NC_086019.1,59430973,59434973,+,0.684808087679516,31
LOC134485011,NC_086019.1,59519245,59523245,+,0.565070095238095,37
LOC134485012,NC_086019.1,59551714,59555714,+,0.564725485436893,44
LOC134485014,NC_086019.1,59611811,59615811,+,0.585140190146932,28
LOC134485015,NC_086019.1,59650518,59654518,+,0.60256717948718,41
LOC134485018,NC_086019.1,59830112,59834112,+,0.631110792580101,40
LOC134485020,NC_086019.1,59882344,59886344,+,0.56418903930131,41
LOC134485019,NC_086019.1,59944183,59948183,+,0.650101476377953,27
LOC134485021,NC_086019.1,60038584,60042584,+,0.578860994263862,39
LOC134485037,NC_086019.1,60156401,60160401,+,0.641064306192661,36
LOC134485038,NC_086019.1,60170420,60174420,+,0.654285730858469,31
LOC134485034,NC_086019.1,60203001,60207001,+,0.598977847604085,38
LOC134485039,NC_086019.1,60216917,60220917,+,0.703387172995781,28
LOC134485033,NC_086019.1,60256767,60260767,+,0.541197023973546,36
LOC134485023,NC_086019.1,60316711,60320711,+,0.6904881699662,25
4930488N24Rikl,NC_086019.1,60351090,60355090,+,0.651643919885551,46
LOC134485035,NC_086019.1,60402815,60406815,+,0.620973268737532,42
LOC134485044,NC_086019.1,60451419,60455419,+,0.584273836549376,46
LOC134485024,NC_086019.1,60503807,60507807,+,0.617400847457627,47
LOC134485045,NC_086019.1,60548272,60552272,+,0.627654869275312,48
LOC100910657,NC_086019.1,60680528,60684528,+,0.698090877038343,29
LOC134485048,NC_086019.1,60719803,60723803,+,0.61808908819133,41
LOC134485047,NC_086019.1,60766669,60770669,+,0.588819693945443,40
LOC134485026,NC_086019.1,60875398,60879398,+,0.563792181069959,38
LOC134485054,NC_086019.1,60888299,60892299,+,0.514406282722513,27
LOC134484870,NC_086019.1,61061166,61065166,-,0.663422160278746,47
LOC134485056,NC_086019.1,61182580,61186580,-,0.664724689554419,43
LOC134485029,NC_086019.1,61227240,61231240,-,0.692264979639325,41
LOC134485030,NC_086019.1,61372698,61376698,-,0.692398617511521,38
LOC134485031,NC_086019.1,61376640,61380640,-,0.599088350983359,34
LOC134485061,NC_086019.1,61419283,61423283,-,0.578325587467363,24
LOC134485063,NC_086019.1,61497168,61501168,-,0.584100633356791,48
LOC134485064,NC_086019.1,61552773,61556773,-,0.669590568248389,41
LOC134485065,NC_086019.1,61637398,61641398,-,0.507961317747077,29
LOC134484872,NC_086019.1,61775463,61779463,-,0.6497411558669,44
LOC134484873,NC_086019.1,61889957,61893957,-,0.593606196999348,44
LOC134485067,NC_086019.1,61983381,61987381,-,0.581059246575343,26
LOC134485070,NC_086019.1,62117043,62121043,-,0.628242939481268,28
LOC134485069,NC_086019.1,62129379,62133379,-,0.623732542372882,46
LOC134485071,NC_086019.1,62208555,62212555,-,0.530590578512397,39
LOC134485068,NC_086019.1,62409751,62413751,-,0.639156931216931,27
LOC134484874,NC_086019.1,62523716,62527716,-,0.649199093851133,38
LOC134485075,NC_086019.1,62725130,62729130,-,0.584179298036883,46
LOC134485084,NC_086019.1,62765462,62769462,-,0.646284505606524,26
LOC134485076,NC_086019.1,62850426,62854426,-,0.690385659967409,39
LOC134485077,NC_086019.1,62865243,62869243,-,0.533874448315912,36
LOC134485079,NC_086019.1,63008704,63012704,-,0.55945418760469,30
LOC134485087,NC_086019.1,63022558,63026558,-,0.525152274541101,39
LOC134484876,NC_086019.1,63076173,63080173,-,0.600687619047619,39
LOC134485089,NC_086019.1,63243535,63247535,-,0.667339679358718,30
LOC134485090,NC_086019.1,63287418,63291418,-,0.732880520732883,29
LOC134484877,NC_086019.1,63301304,63305304,-,0.628963328530259,40
LOC134485080,NC_086019.1,63356132,63360132,-,0.622993333333333,35
LOC134484878,NC_086019.1,63422821,63426821,-,0.643644290909091,47
LOC134485091,NC_086019.1,63512466,63516466,-,0.664049127399651,24
LOC134485081,NC_086019.1,63526135,63530135,-,0.571827112676056,33
LOC134485092,NC_086019.1,63577753,63581753,-,0.585938368055555,44
LOC134484879,NC_086019.1,63623747,63627747,-,0.515526975476839,45
LOC134485082,NC_086019.1,63704671,63708671,-,0.615812655367232,32
LOC134484880,NC_086019.1,63716756,63720756,-,0.63650781129157,42
LOC134485083,NC_086019.1,63739113,63743113,-,0.569218735083532,29
Frmd1,NC_086019.1,63760383,63764383,-,0.427074606505771,29
Dact2,NC_086019.1,63862153,63866153,-,0.852098624805397,152
Smoc2,NC_086019.1,63933627,63937627,+,0.864490439093484,120
