gene	chr	start.x	end.x	log2r	state	i.start	i.end	mean5mC	n_cpg	pstart	pend	meth_flag	cn_state	mechanism	human_symbol	usym	chrom	start.y	end.y	strand	role	is_hcc	n_ctypes	ctypes	n_cohorts
Il7r	chr2	54090000	78870000	0.044	neutral	60204937	60204937	0.790756833176249	23	60202937	60206937	typical	neutral	none	IL7R	IL7R	NC_086020.1	60179561	60204937	-	Act	TRUE	3	ALL,ESCA,HC	3
Keap1	chr8	8390000	31990000	0.0283	neutral	28054042	28054042	0.242159235305308	146	28052042	28056042	typical	neutral	none	KEAP1	KEAP1	NC_086026.1	28044555	28054042	-	Act	TRUE	6	CH,HC,LUAD,LUSC,NSCLC,RCCC	10
Kras	chr4	168250000	184390000	-0.2145	neutral	179949613	179949613	0.153781563882384	236	179947613	179951613	typical	neutral	none	KRAS	KRAS	NC_086022.1	179916255	179949613	-	Act	TRUE	29	ALL,AML,AN,BC,BCNET,BLCA,BRCA,CESC,CH,CLL,CM,COREAD,DLBCL,ESCA,HC,LUAD,MGCT,MM,NSCLC,OV,PAAD,PAIS,PIA,PRAD,RPC,ST,THCA,UCEC,UCS	68
Mapk1	chr11	89910000	99150000	0.0619	neutral	97529193	97529193	0.205106670467503	117	97527193	97531193	typical	neutral	none	MAPK1	MAPK1	NC_086029.1	97462025	97529193	-	Act	TRUE	4	CESC,CLL,HC,HNSC	4
Mtor	chr5	163570000	164450000	-0.4202	loss	164167985	164167985	0.255350299170045	109	164165985	164169985	typical	loss	het_loss	MTOR	MTOR	NC_086023.1	164167985	164277438	+	Act	TRUE	11	AML,ANGS,BRCA,COREAD,HC,LGG,OS,PAIS,RCCC,RCH,UCEC	15
Ncor2	chr12	37070000	41730000	-0.4441	loss	37127736	37127736	0.13533418938081	228	37125736	37129736	typical	loss	het_loss	NCOR2	NCOR2	NC_086030.1	37127736	37289612	+	Act	TRUE	5	BRCA,COREAD,ESCA,HC,PRAD	7
Nfe2l2	chr3	41510000	106350000	0.1926	neutral	81031165	81031165	0.429379516884397	71	81029165	81033165	typical	neutral	none	NFE2L2	NFE2L2	NC_086021.1	81001529	81031165	-	Act	TRUE	8	BLCA,CESC,ESCA,HC,HNSC,LUSC,RPC,UCEC	15
Nras	chr2	193030000	193390000	-0.0751	neutral	193271399	193271399	0.236291046546101	76	193269399	193273399	typical	neutral	none	NRAS	NRAS	NC_086020.1	193271399	193282023	+	Act	TRUE	21	ALL,AML,ANGS,CH,CLL,CM,COREAD,GBM,HC,LGG,LUAD,LUSC,MGCT,MM,NSPH,OV,PAAD,PRAD,THCA,THYM,UCEC	37
Pik3ca	chr2	109490000	133750000	-0.018	neutral	117103643	117103643	0.0786958291288261	176	117101643	117105643	hypo	neutral	promoter_hypo_only	PIK3CA	PIK3CA	NC_086020.1	117103643	117177411	+	Act	TRUE	36	ACY,AN,ANGS,BLCA,BRCA,CESC,CH,CM,COREAD,EPD,ESCA,GBM,HC,HGG,HNSC,LEIS,LGG,LUAD,LUSC,MBL,MESO,MGCT,NSCLC,OS,OV,PAAD,PIA,PRAD,RCCC,RPC,S,SBCC,ST,UCEC,UCS,VV	87
Rpl22	chr5	164610000	172150000	-0.4379	loss	168114432	168114432	0.825889655172414	75	168112432	168116432	typical	loss	het_loss	RPL22	RPL22	NC_086023.1	168114432	168126114	+	Act	TRUE	1	HC	1
Setdb1	chr2	184570000	191510000	0.4516	gain	185619084	185619084	0.156539584150647	93	185617084	185621084	typical	gain	amplification	SETDB1	SETDB1	NC_086020.1	185587722	185619084	-	Act	TRUE	3	CLL,HC,MESO	3
Acvr2a	chr3	41510000	106350000	0.1926	neutral	53614143	53614143	0.10154323460841	206	53612143	53616143	hypo	neutral	promoter_hypo_only	ACVR2A	ACVR2A	NC_086021.1	53614143	53701933	+	LoF	TRUE	6	COREAD,HC,PAAD,SSCC,ST,UCEC	11
Apc	chr18	24470000	26890000	-0.0527	neutral	26138382	26138382	0.742437747653806	38	26136382	26140382	typical	neutral	none	APC	APC	NC_086036.1	26138382	26196021	+	LoF	TRUE	14	AN,BC,CH,CM,COREAD,ESCA,HC,NSCLC,PRAD,SBCC,SSCC,ST,UVM,VV	28
Arid1a	chr5	139710000	159130000	-0.4289	loss	151269291	151269291	0.198247554904832	110	151267291	151271291	typical	loss	het_loss	ARID1A	ARID1A	NC_086023.1	151192014	151269291	-	LoF	TRUE	29	BLCA,BLY,BRCA,CESC,CH,CLL,COREAD,DLBCL,ESCA,GBM,HC,LGG,LUAD,LUSC,MBL,NHLY,NSCLC,OS,OV,PAAD,PIA,PRAD,RCCC,RPC,SBCC,SCLC,ST,UCEC,UCS	70
Arid1b	chr1	42070000	50130000	-0.1087	neutral	47973199	47973199	0.108244769620253	254	47971199	47975199	hypo	neutral	promoter_hypo_only	ARID1B	ARID1B	NC_086019.1	47973199	48328793	+	LoF	TRUE	11	BLCA,BRCA,COREAD,DLBCL,HC,HGG,LGG,LUSC,MBL,PAAD,PIA	12
Arid2	chr7	122630000	131610000	0.0011	neutral	129326371	129326371	0.0729381821351775	372	129324371	129328371	hypo	neutral	promoter_hypo_only	ARID2	ARID2	NC_086025.1	129326371	129443813	+	LoF	TRUE	15	BLCA,CH,CM,ESCA,HC,HNSC,LGG,LUAD,MBL,NSCLC,PAAD,PIA,SSCC,ST,THCA	29
Atm	chr8	47070000	63930000	-0.0933	neutral	62829040	62829040	0.0988459541381129	138	62827040	62831040	hypo	neutral	promoter_hypo_only	ATM	ATM	NC_086026.1	62724939	62829040	-	LoF	TRUE	20	BLCA,BRCA,CH,CLL,COREAD,ESCA,HC,HGG,LUAD,MM,NB,NSCLC,PAAD,PAIS,PRAD,RCCC,SCLC,ST,THCA,UCEC	44
Axin1	chr10	12490000	18150000	-0.258	neutral	15667894	15667894	0.141239069215948	150	15665894	15669894	typical	neutral	none	AXIN1	AXIN1	NC_086028.1	15667894	15720092	+	LoF	TRUE	3	ESCA,GBM,HC	9
Axin2	chr10	85210000	107290000	-0.3096	neutral	94393379	94393379	0.771280122532335	51	94391379	94395379	typical	neutral	none	AXIN2	AXIN2	NC_086028.1	94393379	94426579	+	LoF	TRUE	1	HC	1
Bap1	chr16	5270000	8270000	-0.104	neutral	6453126	6453126	0.182002312138729	153	6451126	6455126	typical	neutral	none	BAP1	BAP1	NC_086034.1	6453126	6461952	+	LoF	TRUE	12	BRCA,CESC,CH,CM,ESCA,HC,MESO,NSCLC,PAAD,RCCC,RPC,UVM	19
Brd7	chr19	34030000	38610000	-0.2033	neutral	34882238	34882238	0.120250659319032	130	34880238	34884238	typical	neutral	none	BRD7	BRD7	NC_086037.1	34882238	34910944	+	LoF	TRUE	2	CM,HC	3
Camta1	chr5	164610000	172150000	-0.4379	loss	167639502	167639502	0.137555051358731	277	167637502	167641502	typical	loss	het_loss	CAMTA1	CAMTA1	NC_086023.1	166791639	167639502	-	LoF	TRUE	1	HC	1
Cdkn1a	chr20	5290000	25870000	-0.2982	neutral	7150820	7150820	0.829873961038961	68	7148820	7152820	typical	neutral	none	CDKN1A	CDKN1A	NC_086038.1	7150820	7161373	+	LoF	TRUE	3	BLCA,HC,RCH	10
Cdkn1b	chr4	168250000	184390000	-0.2145	neutral	169491273	169491273	0.115468024861878	172	169489273	169493273	typical	neutral	none	CDKN1B	CDKN1B	NC_086022.1	169491273	169496500	+	LoF	TRUE	6	BCNET,BRCA,DLBCL,HC,MM,PRAD	10
Cdkn2a	chr5	109110000	130070000	-0.0305	neutral	109114448	109114448	0.566484971098266	27	109112448	109116448	typical	neutral	none	CDKN2A	CDKN2A	NC_086023.1	109100763	109114448	-	LoF	TRUE	19	ACY,BLCA,BRCA,CH,CM,ESCA,GBM,HC,HNSC,LGG,LUAD,LUSC,NSCLC,OS,PAAD,RCCC,SSCC,ST,VV	55
Crebbp	chr10	7470000	12330000	-0.2734	neutral	11842307	11842307	0.0857841860465119	263	11840307	11844307	hypo	neutral	promoter_hypo_only	CREBBP	CREBBP	NC_086028.1	11842307	11968266	+	LoF	TRUE	18	ALL,BLCA,BRCA,CLL,DLBCL,ESCA,HC,HNSC,LUSC,LY,MBL,NHLY,PAIS,PIA,SBCC,SCLC,SG,VV	33
Dnmt3a	chr6	28870000	32950000	-0.1915	neutral	32507316	32507316	0.846419523809524	40	32505316	32509316	typical	neutral	none	DNMT3A	DNMT3A	NC_086024.1	32507316	32621678	+	LoF	TRUE	7	AML,HC,LGG,MDPS,PRAD,RPC,THCA	11
Ep300	chr7	111950000	122570000	-0.1353	neutral	114987857	114987857	0.0579287295535605	189	114985857	114989857	hypo	neutral	promoter_hypo_only	EP300	EP300	NC_086025.1	114987857	115058652	+	LoF	TRUE	12	BLCA,CESC,COREAD,DLBCL,ESCA,HC,HNSC,LUSC,MBL,NHLY,NSPH,SCLC	20
Fat1	chr16	52310000	55610000	-1.0068	loss	54029175	54029175	0.149486941580756	146	54027175	54031175	typical	loss	het_loss	FAT1	FAT1	NC_086034.1	53909759	54029175	-	LoF	TRUE	20	AN,BCNET,BLCA,BRCA,CESC,CLL,ESCA,HC,HNSC,LUSC,MBL,OV,PAAD,PRAD,SBCC,SSCC,ST,UCEC,UVM,VV	33
Fat4	chr2	109490000	133750000	-0.018	neutral	123855289	123855289	0.0837307099261162	222	123853289	123857289	hypo	neutral	promoter_hypo_only	FAT4	FAT4	NC_086020.1	123855289	123984716	+	LoF	TRUE	24	ACC,ALL,AML,BRCA,CLL,CM,COREAD,DLBCL,ESCA,GBM,HC,HNSC,LUAD,LY,MESO,MGCT,MM,NSCLC,PAAD,PAIS,PRAD,SBCC,SCLC,ST	33
Gmps	chr2	135690000	151070000	-0.0268	neutral	150587824	150587824	0.188328751725498	110	150585824	150589824	typical	neutral	none	GMPS	GMPS	NC_086020.1	150587824	150641564	+	LoF	TRUE	1	HC	1
Hnf1a	chr12	43050000	51550000	-0.529	loss	47299171	47299171	0.464029901269394	64	47297171	47301171	typical	loss	het_loss	HNF1A	HNF1A	NC_086030.1	47299171	47333457	+	LoF	TRUE	1	HC	2
Kmt2a	chr8	47070000	63930000	-0.0933	neutral	54089219	54089219	0.0704906540896115	235	54087219	54091219	hypo	neutral	promoter_hypo_only	KMT2A	KMT2A	NC_086026.1	54013547	54089219	-	LoF	TRUE	10	ACC,BCNET,BLCA,CM,ESCA,HC,OV,PRAD,SBCC,THCA	13
Kmt2c	chr4	5610000	14950000	-0.1587	neutral	10353698	10353698	0.0844449847345297	306	10351698	10355698	hypo	neutral	promoter_hypo_only	KMT2C	KMT2C	NC_086022.1	10353698	10755965	+	LoF	TRUE	32	ACY,AML,AN,BLCA,BRCA,CESC,CH,CM,COREAD,ESCA,EWS,HC,HNSC,LUAD,LUSC,MBL,NSPH,OV,PAAD,PAIS,PCPG,PIA,PRAD,RCCC,RPC,SCLC,SG,SSCC,ST,THCA,UCEC,VV	69
Kmt2d	chr7	131630000	131930000	-0.597	loss	131901032	131901032	0.162366690353526	171	131899032	131903032	typical	loss	het_loss	KMT2D	KMT2D	NC_086025.1	131859696	131901032	-	LoF	TRUE	31	ACY,ALL,AN,BLCA,BRCA,CESC,CH,CLL,DLBCL,ESCA,GBM,HC,HGG,HNSC,LUSC,LY,MBL,MESO,NB,NHLY,NSCLC,OV,PAAD,PIA,PRAD,RCH,SBCC,SCLC,SSCC,ST,UCEC	65
Lrp1b	chr3	41510000	106350000	0.1926	neutral	47125147	47125147	0.896308498845265	77	47123147	47127147	hyper	neutral	promoter_hyper_only	LRP1B	LRP1B	NC_086021.1	45004001	47125147	-	LoF	TRUE	30	AML,AN,BRCA,CH,CLL,CM,COREAD,ESCA,GBM,HC,HNSC,LUAD,LUSC,MBL,MGCT,MM,NB,NSCLC,OS,OV,PAAD,PRAD,RCCC,RHBDS,SBCC,SCLC,ST,THCA,UCS,UVM	60
Map3k1	chr2	43130000	53990000	-0.0071	neutral	45150555	45150555	0.855297220891231	66	45148555	45152555	typical	neutral	none	MAP3K1	MAP3K1	NC_086020.1	45081889	45150555	-	LoF	TRUE	7	BRCA,CESC,COREAD,GBM,HC,THCA,UCEC	12
Men1	chr1	210690000	238550000	-0.0429	neutral	213068166	213068166	0.235043554443054	103	213066166	213070166	typical	neutral	none	MEN1	MEN1	NC_086019.1	213068166	213074132	+	LoF	TRUE	5	ACC,BRCA,HC,LNET,PAIS	6
Nf1	chr10	62050000	64830000	-0.1398	neutral	64803986	64803986	0.147282414639589	136	64801986	64805986	typical	neutral	none	NF1	NF1	NC_086028.1	64803986	65037086	+	LoF	TRUE	23	ACC,ALL,AML,BLCA,BRCA,CH,CM,COREAD,GBM,HC,HNSC,LGG,LUAD,LUSC,NB,NSCLC,OV,PCPG,PIA,RCCC,RHBDS,S,THCA	42
Nf2	chr14	80590000	109084928	-0.0588	neutral	83934263	83934263	0.197690983170948	135	83932263	83936263	typical	neutral	none	NF2	NF2	NC_086032.1	83850894	83934263	-	LoF	TRUE	9	CESC,HC,HNSC,MESO,OV,PAAD,RCCC,RPC,SSCC	11
Pten	chr1	239330000	240290000	-0.0535	neutral	240043707	240043707	0.0628600225679051	244	240041707	240045707	hypo	neutral	promoter_hypo_only	PTEN	PTEN	NC_086019.1	240043707	240110330	+	LoF	TRUE	28	BLCA,BRCA,CESC,CH,CM,COREAD,ESCA,GBM,HC,HGG,HNSC,LGG,LUSC,MBL,NSCLC,OS,OV,PAIS,PIA,PRAD,RCCC,RCH,RPC,S,ST,THCA,UCEC,UCS	61
Ranbp2	chr20	26370000	37890000	-0.1422	neutral	26984520	26984520	0.220946979062812	123	26982520	26986520	typical	neutral	none	RANBP2	RANBP2	NC_086038.1	26984520	27036573	+	LoF	TRUE	6	HC,NB,NSPH,PCPG,PRAD,RCCC	6
Rb1	chr15	49990000	57850000	-0.0381	neutral	54911989	54911989	0.109688615110583	209	54909989	54913989	hypo	neutral	promoter_hypo_only	RB1	RB1	NC_086033.1	54780858	54911989	-	LoF	TRUE	24	ACC,BLCA,BRCA,CESC,CM,ESCA,GBM,HC,HNSC,LEIS,LUAD,LUSC,MM,NSCLC,OS,OV,PIA,PRAD,RB,S,SCLC,ST,UCEC,UCS	52
Rps6ka3	chrX	37310000	41510000	-0.0863	neutral	39432017	39432017	0.872879010770975	187	39430017	39434017	hyper	neutral	promoter_hyper_only	RPS6KA3	RPS6KA3	NC_086039.1	39325926	39432017	-	LoF	TRUE	1	HC	4
Setd2	chr8	117430000	123490000	-0.2127	neutral	119390207	119390207	0.100488538932633	178	119388207	119392207	hypo	neutral	promoter_hypo_only	SETD2	SETD2	NC_086026.1	119390207	119475863	+	LoF	TRUE	18	ALL,BLCA,CLL,CM,EWS,HC,LGG,LUAD,MESO,MM,NSCLC,OS,PAAD,PAIS,PIA,PRAD,RCCC,RPC	25
Smarca4	chr8	8390000	31990000	0.0283	neutral	28438370	28438370	0.934243388134382	48	28436370	28440370	hyper	neutral	promoter_hyper_only	SMARCA4	SMARCA4	NC_086026.1	28438370	28535071	+	LoF	TRUE	15	BLCA,BLY,COREAD,ESCA,HC,HNSC,LGG,LUAD,MBL,NHLY,NSCLC,PAAD,PIA,RPC,THYM	25
Tfg	chr11	13370000	58150000	0.1644	neutral	57354607	57354607	0.131128777286346	115	57352607	57356607	typical	neutral	none	TFG	TFG	NC_086029.1	57354607	57381071	+	LoF	TRUE	1	HC	1
Tp53	chr10	42690000	61130000	-0.1479	neutral	54798871	54798871	0.0550647036328872	148	54796871	54800871	hypo	neutral	promoter_hypo_only	TP53	TP53	NC_086028.1	54798871	54810300	+	LoF	TRUE	52	ACC,ALL,AML,AN,ANGS,BC,BLCA,BLY,BRCA,CESC,CH,CLL,CM,COREAD,DLBCL,ESCA,EWS,GBM,HC,HGG,HNSC,LEIS,LGG,LUAD,LUSC,LY,MBL,MESO,MM,NHLY,NSCLC,NSPH,OS,OV,PAAD,PAIS,PIA,PRAD,RCCC,RCH,RPC,S,SBCC,SCLC,SSCC,ST,THCA,THYM,UCEC,UCS,VV,WT	165
Tsc1	chr3	20030000	35050000	0.0134	neutral	32367434	32367434	0.206607914369121	113	32365434	32369434	typical	neutral	none	TSC1	TSC1	NC_086021.1	32367434	32416565	+	LoF	TRUE	2	BLCA,HC	6
Tsc2	chr10	12490000	18150000	-0.258	neutral	14160317	14160317	0.312232994803968	106	14158317	14162317	typical	neutral	none	TSC2	TSC2	NC_086028.1	14125679	14160317	-	LoF	TRUE	6	ACY,BLCA,HC,PAIS,RCH,SSCC	11
Xpc	chr4	124730000	127810000	-0.0911	neutral	125578084	125578084	0.182052995096994	103	125576084	125580084	typical	neutral	none	XPC	XPC	NC_086022.1	125550833	125578084	-	LoF	TRUE	1	HC	1
Birc6	chr6	5810000	28810000	0.03	neutral	26668275	26668275	0.119876223499109	164	26666275	26670275	typical	neutral	none	BIRC6	BIRC6	NC_086024.1	26474843	26668275	-	ambiguous	TRUE	12	BLCA,CH,COREAD,DLBCL,ESCA,HC,HNSC,MGCT,NHLY,PAAD,PCPG,UCEC	16
Cacna1d	chr16	5270000	8270000	-0.104	neutral	5527549	5527549	0.401330859375	197	5525549	5529549	typical	neutral	none	CACNA1D	CACNA1D	NC_086034.1	5233682	5527549	-	ambiguous	TRUE	5	BRCA,GBM,HC,OV,ST	6
Cdh11	chr19	10000	13810000	-0.0158	neutral	2152961	2152961	0.804143957968477	108	2150961	2154961	typical	neutral	none	CDH11	CDH11	NC_086037.1	2152961	2312140	+	ambiguous	TRUE	6	CH,CM,ESCA,HC,LUSC,ST	8
Flt4	chr10	28670000	39930000	-0.1447	neutral	34414834	34414834	0.285473368508748	129	34412834	34416834	typical	neutral	none	FLT4	FLT4	NC_086028.1	34414834	34455878	+	ambiguous	TRUE	7	ANGS,BLCA,HC,LUAD,LUSC,NB,SBCC	8
Nbea	chr2	135690000	151070000	-0.0268	neutral	142489172	142489172	0.115760157527121	199	142487172	142491172	typical	neutral	none	NBEA	NBEA	NC_086020.1	141930147	142489172	-	ambiguous	TRUE	7	BC,CM,COREAD,DLBCL,ESCA,HC,PAAD	9
Pot1	chr4	31330000	57990000	0.0213	neutral	55228588	55228588	0.256390721649485	56	55226588	55230588	typical	neutral	none	POT1	POT1	NC_086022.1	55170821	55228588	-	ambiguous	TRUE	5	CLL,CM,HC,LGG,UCEC	7
Prdm2	chr5	159290000	162470000	-0.3474	neutral	160815184	160815184	0.238735784982935	148	160813184	160817184	typical	neutral	none	PRDM2	PRDM2	NC_086023.1	160704396	160815184	-	ambiguous	TRUE	3	AN,HC,RPC	3
Runx1t1	chr5	29430000	56130000	0.0119	neutral	31984946	31984946	0.171817911714771	162	31982946	31986946	typical	neutral	none	RUNX1T1	RUNX1T1	NC_086023.1	31984946	32136878	+	ambiguous	TRUE	5	HC,LGG,PRAD,SBCC,SCLC	6
Tet1	chr20	5290000	25870000	-0.2982	neutral	25766806	25766806	0.820177951524629	34	25764806	25768806	typical	neutral	none	TET1	TET1	NC_086038.1	25766806	25839598	+	ambiguous	TRUE	5	GBM,HC,RPC,SBCC,ST	6
Usp8	chr3	130050000	143290000	0.1028	neutral	134413832	134413832	0.176995402644231	79	134411832	134415832	typical	neutral	none	USP8	USP8	NC_086021.1	134413832	134463040	+	ambiguous	TRUE	3	HC,LUSC,MM	3
Wnk2	chr17	14790000	16030000	-0.1699	neutral	15709648	15709648	0.202520410393395	233	15707648	15711648	typical	neutral	none	WNK2	WNK2	NC_086035.1	15709648	15818874	+	ambiguous	TRUE	3	COREAD,HC,THCA	3
Abl2	chr13	53910000	71930000	0.5636	gain	71223902	71223902	0.228452459016394	141	71221902	71225902	typical	gain	amplification	ABL2	ABL2	NC_086031.1	71223902	71319770	+	Act	FALSE	3	BRCA,THCA,UCEC	4
Ackr3	chr9	94670000	104970000	-0.1325	neutral	98247300	98247300	0.27088369132856	99	98245300	98249300	typical	neutral	none	ACKR3	ACKR3	NC_086027.1	98247300	98258877	+	Act	FALSE	1	OV	1
Acsl3	chr9	44770000	94510000	-0.0019	neutral	87563601	87563601	0.117430896814913	166	87561601	87565601	typical	neutral	none	ACSL3	ACSL3	NC_086027.1	87563601	87613078	+	Act	FALSE	1	AML	1
Aff1	chr14	4210000	20630000	-0.1168	neutral	6328848	6328848	0.189174955213185	170	6326848	6330848	typical	neutral	none	AFF1	AFF1	NC_086032.1	6165864	6328848	-	Act	FALSE	1	CM	1
Akt1	chr6	134550000	138530000	-0.4283	loss	137555131	137555131	0.0912204341153253	200	137553131	137557131	hypo	loss	het_loss	AKT1	AKT1	NC_086024.1	137534810	137555131	-	Act	FALSE	8	ACY,ALL,BRCA,CESC,OS,PRAD,THCA,UCEC	17
Ar	chrX	56890000	85810000	-0.0364	neutral	67135317	67135317	0.801445367027677	91	67133317	67137317	typical	neutral	none	AR	AR	NC_086039.1	67135317	67304476	+	Act	FALSE	5	CH,DLBCL,MM,NSPH,PRAD	8
Araf	chrX	2770000	4590000	-0.0611	neutral	3845919	3845919	0.182609881175735	49	3843919	3847919	typical	neutral	none	ARAF	ARAF	NC_086039.1	3780932	3845919	-	Act	FALSE	2	CH,CLL	2
Arhgef12	chr8	47070000	63930000	-0.0933	neutral	52373158	52373158	0.0959449556400507	179	52371158	52375158	hypo	neutral	promoter_hypo_only	ARHGEF12	ARHGEF12	NC_086026.1	52247047	52373158	-	Act	FALSE	2	BRCA,ST	2
Bcl11a	chr14	80590000	109084928	-0.0588	neutral	102230147	102230147	0.0777944088918826	209	102228147	102232147	hypo	neutral	promoter_hypo_only	BCL11A	BCL11A	NC_086032.1	102230147	102325289	+	Act	FALSE	1	NHLY	1
Bcl11b	chr6	128590000	134350000	-0.3669	neutral	132692123	132692123	0.06565798731847	248	132690123	132694123	hypo	neutral	promoter_hypo_only	BCL11B	BCL11B	NC_086024.1	132598968	132692123	-	Act	FALSE	4	DLBCL,GBM,PAAD,VV	4
Bcl2	chr13	11070000	29770000	0.9485	gain	23366900	23366900	0.27711283088967	195	23364900	23368900	typical	gain	amplification	BCL2	BCL2	NC_086031.1	23204464	23366900	-	Act	FALSE	2	DLBCL,LY	4
Bcl6	chr11	89910000	99150000	0.0619	neutral	90358753	90358753	0.130807676518884	191	90356753	90360753	typical	neutral	none	BCL6	BCL6	NC_086029.1	90358753	90382049	+	Act	FALSE	2	DLBCL,NHLY	3
Bcl7a	chr12	37070000	41730000	-0.4441	loss	38904770	38904770	0.102116793137578	243	38902770	38906770	hypo	loss	het_loss	BCL7A	BCL7A	NC_086030.1	38872851	38904770	-	Act	FALSE	2	DLBCL,MM	2
Bcl9	chr2	184570000	191510000	0.4516	gain	187475241	187475241	0.305824265352807	100	187473241	187477241	typical	gain	amplification	BCL9	BCL9	NC_086020.1	187449425	187475241	-	Act	FALSE	2	COREAD,ST	3
Bcl9l	chr8	47070000	63930000	-0.0933	neutral	53708770	53708770	0.106131014150943	127	53706770	53710770	hypo	neutral	promoter_hypo_only	BCL9L	BCL9L	NC_086026.1	53708770	53738880	+	Act	FALSE	1	COREAD	3
Bclaf1	chr1	14910000	18690000	-0.0614	neutral	16904572	16904572	0.39278609143593	39	16902572	16906572	typical	neutral	none	BCLAF1	BCLAF1	NC_086019.1	16904572	16937106	+	Act	FALSE	3	AML,CM,ST	3
Bcr	chr20	5290000	25870000	-0.2982	neutral	13596333	13596333	0.0990282952133929	251	13594333	13598333	hypo	neutral	promoter_hypo_only	BCR	BCR	NC_086038.1	13468732	13596333	-	Act	FALSE	5	CLL,DLBCL,LUSC,LY,SCLC	6
Birc3	chr8	8390000	31990000	0.0283	neutral	13313329	13313329	0.297329078014184	73	13311329	13315329	typical	neutral	none	BIRC3	BIRC3	NC_086026.1	13285702	13313329	-	Act	FALSE	1	CLL	1
Braf	chr4	63010000	71890000	-0.062	neutral	69476931	69476931	0.21780199122511	147	69474931	69478931	typical	neutral	none	BRAF	BRAF	NC_086022.1	69329772	69476931	-	Act	FALSE	19	BLCA,BRCA,CLL,CM,COREAD,DLBCL,GBM,HGG,LGG,LUAD,LUSC,MM,NSCLC,OV,PIA,PRAD,RPC,THCA,UCEC	43
Brd4	chr7	5670000	18170000	-0.1107	neutral	11946575	11946575	0.118049088081436	182	11944575	11948575	typical	neutral	none	BRD4	BRD4	NC_086025.1	11866997	11946575	-	Act	FALSE	2	BLCA,PRAD	2
Btk	chrX	98770000	102910000	0.0035	neutral	102055448	102055448	0.81033418512209	38	102053448	102057448	typical	neutral	none	BTK	BTK	NC_086039.1	102016070	102055448	-	Act	FALSE	2	LUAD,NHLY	2
Cbfa2t3	chr19	67110000	72590000	-0.4056	loss	67658533	67658533	0.809487602552416	67	67656533	67660533	typical	loss	het_loss	CBFA2T3	CBFA2T3	NC_086037.1	67584319	67658533	-	Act	FALSE	1	CESC	1
