chrom,chr,pos,cov,log2r
NC_086019.1,chr1,930000,32.258,-0.44551987044154
NC_086019.1,chr1,950000,61.35225,0.471458928978601
NC_086019.1,chr1,970000,7.69125,-2.44521161638343
NC_086019.1,chr1,990000,4.22025,-3.24043197150309
NC_086019.1,chr1,1010000,21.492,-1.02038833614798
NC_086019.1,chr1,1030000,10.443,-2.02735884400288
NC_086019.1,chr1,1050000,0.30425,-5.7935793070082
NC_086019.1,chr1,1070000,10.51525,-2.01786490957135
NC_086019.1,chr1,1090000,3.282,-3.56014587971118
NC_086019.1,chr1,1110000,6.079,-2.76142693026619
NC_086019.1,chr1,1130000,1.6855,-4.35133186487527
NC_086019.1,chr1,1150000,0.437,-5.57317429000175
NC_086019.1,chr1,1170000,2.26125,-4.0139737294183
NC_086019.1,chr1,1190000,6.4355,-2.68529534869542
NC_086019.1,chr1,1210000,9.41375,-2.16986436489546
NC_086019.1,chr1,1230000,101.81175,1.19753278778566
NC_086019.1,chr1,1250000,114.2315,1.36282249030639
NC_086019.1,chr1,1270000,94.4555,1.08988441827614
NC_086019.1,chr1,1290000,111.0465,1.32220619355506
NC_086019.1,chr1,1310000,140.87225,1.66405990768452
NC_086019.1,chr1,1330000,89.13975,1.00677147715066
NC_086019.1,chr1,1350000,45.142,0.0329948627715265
NC_086019.1,chr1,1370000,78.046,0.816170659208096
NC_086019.1,chr1,1390000,91.31125,1.04130379555795
NC_086019.1,chr1,1410000,100.6115,1.18050803946131
NC_086019.1,chr1,1430000,83.63625,0.91536036969848
NC_086019.1,chr1,1450000,43.70775,-0.0130678394346752
NC_086019.1,chr1,1470000,26.74,-0.711640444761504
NC_086019.1,chr1,1490000,77.02275,0.797252600930886
NC_086019.1,chr1,1510000,89.84125,1.01801772754489
NC_086019.1,chr1,1530000,61.888,0.483901412941545
NC_086019.1,chr1,1550000,89.1685,1.00723411601732
NC_086019.1,chr1,1570000,97.519,1.13569428018688
NC_086019.1,chr1,1590000,113.7815,1.35715282435775
NC_086019.1,chr1,1610000,108.24325,1.28548679836935
NC_086019.1,chr1,1630000,77.686,0.809543153298771
NC_086019.1,chr1,1650000,84.262,0.926050481080903
NC_086019.1,chr1,1670000,98.955,1.15667675481155
NC_086019.1,chr1,1690000,78.1685,0.818418927380248
NC_086019.1,chr1,1710000,66.36925,0.583975788149332
NC_086019.1,chr1,1730000,68.954,0.638690636289345
NC_086019.1,chr1,1750000,57.64525,0.382294191801176
NC_086019.1,chr1,1770000,51.66775,0.225791063022186
NC_086019.1,chr1,1790000,42.73025,-0.0453259687660049
NC_086019.1,chr1,1810000,40.0835,-0.1364738568242
NC_086019.1,chr1,1830000,51.42975,0.219194131914097
NC_086019.1,chr1,1850000,61.17025,0.467207546640136
NC_086019.1,chr1,1870000,65.07375,0.55575125325808
NC_086019.1,chr1,1890000,84.3315,0.927232923933426
NC_086019.1,chr1,1910000,56.36925,0.350281629830573
NC_086019.1,chr1,1930000,36.374,-0.274763223213462
NC_086019.1,chr1,1950000,42.938,-0.0384094689219351
NC_086019.1,chr1,1970000,33.009,-0.412818514883567
NC_086019.1,chr1,1990000,9.43075,-2.16739256447774
NC_086019.1,chr1,2010000,2.77325,-3.76857144813639
NC_086019.1,chr1,2030000,0.264,-5.86765069962519
NC_086019.1,chr1,2050000,30.434,-0.528173751249304
NC_086019.1,chr1,2070000,42.29425,-0.0599501845170179
NC_086019.1,chr1,2090000,38.826,-0.181883696476935
NC_086019.1,chr1,2110000,21.04625,-1.0499303496637
NC_086019.1,chr1,2130000,50.298,0.187404548750475
NC_086019.1,chr1,2150000,31.68475,-0.470989885576153
NC_086019.1,chr1,2170000,10.41425,-2.03115415277653
NC_086019.1,chr1,2190000,14.13675,-1.60777190045943
NC_086019.1,chr1,2210000,40.3005,-0.128780315936765
NC_086019.1,chr1,2230000,18.466,-1.23395170703528
NC_086019.1,chr1,2250000,11.30125,-1.918427468754
NC_086019.1,chr1,2270000,2.26975,-4.00953947973417
NC_086019.1,chr1,2290000,0,-6.47929524299885
NC_086019.1,chr1,2310000,1.0625,-4.83543905322413
NC_086019.1,chr1,2330000,37.01175,-0.250024578862331
NC_086019.1,chr1,2350000,94.98625,1.09792585220957
NC_086019.1,chr1,2370000,79.11875,0.835741073443908
NC_086019.1,chr1,2390000,100.8225,1.18351552598893
NC_086019.1,chr1,2410000,14.1825,-1.60326951027615
NC_086019.1,chr1,2430000,0.296,-5.80845490711729
NC_086019.1,chr1,2450000,27.85625,-0.653700393535468
NC_086019.1,chr1,2470000,57.0705,0.367962594009003
NC_086019.1,chr1,2490000,49.5585,0.166247913290632
NC_086019.1,chr1,2510000,21.805,-1
NC_086019.1,chr1,2530000,0.76225,-5.14329756560983
NC_086019.1,chr1,2550000,4.62425,-3.12195437993407
NC_086019.1,chr1,2570000,1.5895,-4.41613748433853
NC_086019.1,chr1,2590000,2.26925,-4.00979994101686
NC_086019.1,chr1,2610000,0.1545,-6.0908301457157
NC_086019.1,chr1,2630000,0.10975,-6.19300548486475
NC_086019.1,chr1,2650000,0.0655,-6.30169631367112
NC_086019.1,chr1,2670000,14.842,-1.53988058169813
NC_086019.1,chr1,2690000,48.6485,0.139780238432313
NC_086019.1,chr1,2710000,41.26325,-0.0951331618636651
NC_086019.1,chr1,2730000,54.301,0.296835071385952
NC_086019.1,chr1,2750000,86.06225,0.956370851303407
NC_086019.1,chr1,2770000,65.81075,0.571875624405852
NC_086019.1,chr1,2790000,35.0395,-0.327943763666526
NC_086019.1,chr1,2810000,48.3815,0.131921408922356
NC_086019.1,chr1,2830000,54.678,0.306726017126752
NC_086019.1,chr1,2850000,44.251,0.0045527729005265
NC_086019.1,chr1,2870000,110.0675,1.3094883316326
NC_086019.1,chr1,2890000,116.57,1.39193236935913
NC_086019.1,chr1,2910000,125.10475,1.4934519704948
NC_086019.1,chr1,2930000,62.50075,0.498001855339798
NC_086019.1,chr1,2950000,40.39275,-0.125522062064107
NC_086019.1,chr1,2970000,67.4195,0.606458690193839
NC_086019.1,chr1,2990000,53.592,0.278048092636326
NC_086019.1,chr1,3010000,41.69675,-0.0802352614880963
NC_086019.1,chr1,3030000,59.50675,0.427757646672899
NC_086019.1,chr1,3050000,36.78725,-0.258684748362782
NC_086019.1,chr1,3070000,59.55,0.428797097819422
NC_086019.1,chr1,3090000,65.27275,0.560122843407945
NC_086019.1,chr1,3110000,52.51675,0.249081085605686
NC_086019.1,chr1,3130000,26.23825,-0.738462102984643
NC_086019.1,chr1,3150000,29.86125,-0.555135959081513
NC_086019.1,chr1,3170000,42.5485,-0.0514041794850318
NC_086019.1,chr1,3190000,54.4995,0.302051355056731
NC_086019.1,chr1,3210000,48.8165,0.144703266961413
NC_086019.1,chr1,3230000,45.78675,0.0532321199949111
NC_086019.1,chr1,3250000,48.7275,0.142097326598729
NC_086019.1,chr1,3270000,43.67975,-0.0139818931752193
NC_086019.1,chr1,3290000,33.8565,-0.376784075832865
NC_086019.1,chr1,3310000,4.996,-3.02091323884284
NC_086019.1,chr1,3330000,0.745,-5.16314950070549
NC_086019.1,chr1,3350000,0,-6.47929524299885
NC_086019.1,chr1,3370000,2.4415,-3.92274320674763
NC_086019.1,chr1,3390000,0.075,-6.2776613818292
NC_086019.1,chr1,3410000,0,-6.47929524299885
NC_086019.1,chr1,3430000,0,-6.47929524299885
NC_086019.1,chr1,3450000,0.081,-6.26268517425641
NC_086019.1,chr1,3470000,0,-6.47929524299885
NC_086019.1,chr1,3490000,0,-6.47929524299885
NC_086019.1,chr1,3510000,0.0035,-6.46923155965415
NC_086019.1,chr1,3530000,0.8545,-5.04153484945892
NC_086019.1,chr1,3550000,6.6455,-2.64226027684472
NC_086019.1,chr1,3570000,38.31475,-0.200762152707339
NC_086019.1,chr1,3590000,28.7755,-0.607673337201892
NC_086019.1,chr1,3610000,1.23,-4.68852320513685
NC_086019.1,chr1,3630000,0,-6.47929524299885
NC_086019.1,chr1,3650000,0,-6.47929524299885
NC_086019.1,chr1,3670000,0.022,-6.41717353109105
NC_086019.1,chr1,3690000,0,-6.47929524299885
NC_086019.1,chr1,3710000,0,-6.47929524299885
NC_086019.1,chr1,3730000,4.792,-3.07548218138226
NC_086019.1,chr1,3750000,4.247,-3.23227919323151
NC_086019.1,chr1,3770000,4.4415,-3.17434620238751
NC_086019.1,chr1,3790000,3.362,-3.52994707871029
NC_086019.1,chr1,3810000,18.8915,-1.20194274286889
NC_086019.1,chr1,3830000,23.5165,-0.893341230230309
NC_086019.1,chr1,3850000,34.83825,-0.33613655074698
NC_086019.1,chr1,3870000,27.19425,-0.687780679331571
NC_086019.1,chr1,3890000,34.479,-0.350878102867445
NC_086019.1,chr1,3910000,40.543,-0.120230960857063
NC_086019.1,chr1,3930000,41.217,-0.0967317352380376
NC_086019.1,chr1,3950000,54.31175,0.297118048899778
NC_086019.1,chr1,3970000,51.1655,0.211834084201627
NC_086019.1,chr1,3990000,34.8255,-0.336657167384816
NC_086019.1,chr1,4010000,36.692,-0.262374817141973
NC_086019.1,chr1,4030000,49.10425,0.153096585227487
NC_086019.1,chr1,4050000,47.3965,0.102553087868124
NC_086019.1,chr1,4070000,35.54375,-0.307618030829092
NC_086019.1,chr1,4090000,30.638,-0.518690865311249
NC_086019.1,chr1,4110000,50.928,0.205186901239266
NC_086019.1,chr1,4130000,44.29375,0.00593030129127602
NC_086019.1,chr1,4150000,29.1485,-0.589408031444859
NC_086019.1,chr1,4170000,43.34475,-0.0249630443790719
NC_086019.1,chr1,4190000,56.74775,0.359851844178776
NC_086019.1,chr1,4210000,58.448,0.40207571786659
NC_086019.1,chr1,4230000,47.32675,0.100450610216947
NC_086019.1,chr1,4250000,46.021,0.0605149607274796
NC_086019.1,chr1,4270000,46.21675,0.0665727639066703
NC_086019.1,chr1,4290000,47.9825,0.120096945183904
NC_086019.1,chr1,4310000,45.66175,0.0493307697294623
NC_086019.1,chr1,4330000,38.34625,-0.199591812477876
NC_086019.1,chr1,4350000,40.87925,-0.108459651562343
NC_086019.1,chr1,4370000,47.295,0.0994925526781227
NC_086019.1,chr1,4390000,29.48,-0.573366764825715
NC_086019.1,chr1,4410000,28.99025,-0.597129095388629
NC_086019.1,chr1,4430000,42.0445,-0.0683945105738213
NC_086019.1,chr1,4450000,42.71575,-0.0458099490146937
NC_086019.1,chr1,4470000,26.15525,-0.742947434901293
NC_086019.1,chr1,4490000,38.937,-0.177817339036097
NC_086019.1,chr1,4510000,41.6025,-0.0834612466364897
NC_086019.1,chr1,4530000,33.7045,-0.383181007193069
NC_086019.1,chr1,4550000,44.8485,0.0236876831637843
NC_086019.1,chr1,4570000,42.11775,-0.0659127199258387
NC_086019.1,chr1,4590000,33.7465,-0.381410596261999
NC_086019.1,chr1,4610000,45.86175,0.0555678761421116
NC_086019.1,chr1,4630000,40.1115,-0.135478833417681
NC_086019.1,chr1,4650000,37.3215,-0.238160566430164
NC_086019.1,chr1,4670000,36.58875,-0.266385502518885
NC_086019.1,chr1,4690000,44.34275,0.0075076066087564
NC_086019.1,chr1,4710000,53.50225,0.275652370205684
NC_086019.1,chr1,4730000,37.389,-0.235588084645947
NC_086019.1,chr1,4750000,43.14275,-0.0316251370465916
NC_086019.1,chr1,4770000,49.214,0.156285039417638
NC_086019.1,chr1,4790000,42.97425,-0.0372060091503881
NC_086019.1,chr1,4810000,32.29275,-0.443990256901885
NC_086019.1,chr1,4830000,35.444,-0.311616181137499
NC_086019.1,chr1,4850000,31.8255,-0.464694462780007
NC_086019.1,chr1,4870000,38.52525,-0.192959273817209
NC_086019.1,chr1,4890000,41.30425,-0.0937175277613531
NC_086019.1,chr1,4910000,49.67575,0.169623128263528
NC_086019.1,chr1,4930000,42.2485,-0.0614933498796863
NC_086019.1,chr1,4950000,27.061,-0.694738913593674
NC_086019.1,chr1,4970000,23.83275,-0.874467770409634
NC_086019.1,chr1,4990000,37.63175,-0.226374405183137
NC_086019.1,chr1,5010000,41.787,-0.0771529343667739
NC_086019.1,chr1,5030000,30.168,-0.540633063155217
NC_086019.1,chr1,5050000,29.80025,-0.558037451037938
NC_086019.1,chr1,5070000,40.83475,-0.110011986971431
NC_086019.1,chr1,5090000,42.4555,-0.0545242829941306
NC_086019.1,chr1,5110000,34.40825,-0.35379911375317
NC_086019.1,chr1,5130000,37.3055,-0.238771012990218
NC_086019.1,chr1,5150000,40.7895,-0.111592199974924
NC_086019.1,chr1,5170000,41.90475,-0.0731412696999229
NC_086019.1,chr1,5190000,37.26225,-0.240422420299062
NC_086019.1,chr1,5210000,34.40825,-0.35379911375317
NC_086019.1,chr1,5230000,22.862,-0.933203360769824
NC_086019.1,chr1,5250000,28.6505,-0.613846518842354
NC_086019.1,chr1,5270000,50.3725,0.189518845420267
NC_086019.1,chr1,5290000,46.65,0.079890622788884
NC_086019.1,chr1,5310000,38.795,-0.183021396292131
NC_086019.1,chr1,5330000,41.19075,-0.0976398222221288
NC_086019.1,chr1,5350000,49.24025,0.157046610606457
NC_086019.1,chr1,5370000,54.59525,0.304560795061704
NC_086019.1,chr1,5390000,48.0575,0.122326997731537
NC_086019.1,chr1,5410000,60.4675,0.450673240731029
NC_086019.1,chr1,5430000,56.35675,0.349964487082499
NC_086019.1,chr1,5450000,46.119,0.0635509101838193
NC_086019.1,chr1,5470000,44.04275,-0.00217651749164459
NC_086019.1,chr1,5490000,44.9115,0.0256905435025625
NC_086019.1,chr1,5510000,47.29025,0.0993491665081883
NC_086019.1,chr1,5530000,41.8695,-0.0743410444693192
NC_086019.1,chr1,5550000,46.96825,0.0895957151620712
NC_086019.1,chr1,5570000,42.04175,-0.0684877668017977
NC_086019.1,chr1,5590000,41.164,-0.0985657944953016
NC_086019.1,chr1,5610000,55.065,0.316809277533295
NC_086019.1,chr1,5630000,55.2385,0.321307029936984
NC_086019.1,chr1,5650000,51.016,0.207653430508043
NC_086019.1,chr1,5670000,50.89775,0.204338056932351
NC_086019.1,chr1,5690000,51.75875,0.228305468502651
NC_086019.1,chr1,5710000,43.64475,-0.0151252753415287
NC_086019.1,chr1,5730000,35.87525,-0.294409984694806
NC_086019.1,chr1,5750000,43.853,-0.00833545759314566
NC_086019.1,chr1,5770000,54.0915,0.291309190167761
NC_086019.1,chr1,5790000,57.64575,0.382306597705682
NC_086019.1,chr1,5810000,52.149,0.239038981264065
NC_086019.1,chr1,5830000,68.5995,0.631308123281637
NC_086019.1,chr1,5850000,66.911,0.595616878764339
NC_086019.1,chr1,5870000,42.9245,-0.0388579106133168
NC_086019.1,chr1,5890000,49.9085,0.1762998767623
NC_086019.1,chr1,5910000,49.2465,0.157227877840886
NC_086019.1,chr1,5930000,39.142,-0.170337397562506
NC_086019.1,chr1,5950000,40.64125,-0.116781519989894
NC_086019.1,chr1,5970000,29.0385,-0.594770581910841
NC_086019.1,chr1,5990000,35.484,-0.31001158188312
NC_086019.1,chr1,6010000,52.28275,0.242699369434256
NC_086019.1,chr1,6030000,63.18925,0.513682734880569
NC_086019.1,chr1,6050000,52.86025,0.258398277648554
NC_086019.1,chr1,6070000,52.5605,0.250271122331143
NC_086019.1,chr1,6090000,53.84475,0.284773521643305
NC_086019.1,chr1,6110000,42.433,-0.0552801615846883
NC_086019.1,chr1,6130000,41.53025,-0.0859391103061697
NC_086019.1,chr1,6150000,30.57475,-0.521624363437462
NC_086019.1,chr1,6170000,44.7075,0.0191949899097565
NC_086019.1,chr1,6190000,61.759,0.480915256407987
NC_086019.1,chr1,6210000,56.01825,0.341349647436371
NC_086019.1,chr1,6230000,44.207,0.0031335910069457
NC_086019.1,chr1,6250000,35.7825,-0.298093281734013
NC_086019.1,chr1,6270000,39.6175,-0.153135443706268
NC_086019.1,chr1,6290000,49.8715,0.175240545170492
NC_086019.1,chr1,6310000,35.78525,-0.297983938083029
NC_086019.1,chr1,6330000,44.91925,0.0259367351632947
NC_086019.1,chr1,6350000,36.83025,-0.257021977735908
NC_086019.1,chr1,6370000,53.624,0.278901316607903
NC_086019.1,chr1,6390000,43.81975,-0.00941740469319226
NC_086019.1,chr1,6410000,47.6655,0.110632994186926
NC_086019.1,chr1,6430000,57.63675,0.382083275100923
NC_086019.1,chr1,6450000,52.96225,0.261153407680025
NC_086019.1,chr1,6470000,64.13325,0.534909389396316
NC_086019.1,chr1,6490000,54.69675,0.307216175107212
NC_086019.1,chr1,6510000,46.32675,0.0699657634768406
NC_086019.1,chr1,6530000,41.879,-0.0740176026869668
NC_086019.1,chr1,6550000,43.595,-0.0167520724684316
NC_086019.1,chr1,6570000,59.55775,0.428983278754164
NC_086019.1,chr1,6590000,43.931,-0.00580053593742786
NC_086019.1,chr1,6610000,27.751,-0.65906521263651
NC_086019.1,chr1,6630000,37.3115,-0.238542065259854
NC_086019.1,chr1,6650000,47.55475,0.107311893974915
NC_086019.1,chr1,6670000,59.35625,0.424134748568301
NC_086019.1,chr1,6690000,48.373,0.131670516986364
NC_086019.1,chr1,6710000,29.66825,-0.56433613706098
NC_086019.1,chr1,6730000,41.8745,-0.0741708029132725
NC_086019.1,chr1,6750000,43.60375,-0.0164658193945685
NC_086019.1,chr1,6770000,44.188,0.00252033061901281
NC_086019.1,chr1,6790000,49.045,0.151372322233107
NC_086019.1,chr1,6810000,58.18725,0.395679958976059
NC_086019.1,chr1,6830000,43.119,-0.0324104526761123
NC_086019.1,chr1,6850000,39.9715,-0.140460827335983
NC_086019.1,chr1,6870000,53.54475,0.276787330776547
NC_086019.1,chr1,6890000,54.51225,0.302385762278754
NC_086019.1,chr1,6910000,49.84275,0.174416878538368
NC_086019.1,chr1,6930000,46.76,0.083252481200272
NC_086019.1,chr1,6950000,46.64475,0.0797299744182699
NC_086019.1,chr1,6970000,48.2555,0.128197827164159
NC_086019.1,chr1,6990000,37.82975,-0.21890255970268
NC_086019.1,chr1,7010000,46.1025,0.0630402024946434
NC_086019.1,chr1,7030000,58.3285,0.399148102993541
NC_086019.1,chr1,7050000,42.52175,-0.0523009375073762
NC_086019.1,chr1,7070000,32.50225,-0.434802761422647
NC_086019.1,chr1,7090000,47.3045,0.0997792822725987
NC_086019.1,chr1,7110000,56.7195,0.35913974293178
NC_086019.1,chr1,7130000,43.47475,-0.0206917722285881
NC_086019.1,chr1,7150000,29.2425,-0.584841230175892
NC_086019.1,chr1,7170000,42.053,-0.0681063021566919
NC_086019.1,chr1,7190000,36.448,-0.271870874894964
NC_086019.1,chr1,7210000,43.6965,-0.0134350235756552
NC_086019.1,chr1,7230000,46.26,0.0679077817580815
NC_086019.1,chr1,7250000,47.34075,0.100872858748928
NC_086019.1,chr1,7270000,49.76175,0.172093755346806
NC_086019.1,chr1,7290000,55.1335,0.318586722783031
NC_086019.1,chr1,7310000,46.1915,0.0657927888901222
NC_086019.1,chr1,7330000,47.3125,0.100020694581164
NC_086019.1,chr1,7350000,44.053,-0.00184456845402268
NC_086019.1,chr1,7370000,40.34475,-0.127216495339484
NC_086019.1,chr1,7390000,41.254,-0.0954527348664351
NC_086019.1,chr1,7410000,48.716,0.141760260300889
NC_086019.1,chr1,7430000,50.9335,0.20534118292352
NC_086019.1,chr1,7450000,48.2345,0.127576294774637
NC_086019.1,chr1,7470000,49.40925,0.161940076116406
NC_086019.1,chr1,7490000,51.43475,0.219333033564035
NC_086019.1,chr1,7510000,37.137,-0.245215510948633
NC_086019.1,chr1,7530000,27.213,-0.686804253573236
NC_086019.1,chr1,7550000,46.68375,0.0809229353961429
NC_086019.1,chr1,7570000,34.79675,-0.337831796760597
NC_086019.1,chr1,7590000,43.25675,-0.0278615611008907
NC_086019.1,chr1,7610000,50.43975,0.191424731118891
NC_086019.1,chr1,7630000,45.5535,0.0459436551272387
NC_086019.1,chr1,7650000,43.54475,-0.0183970835708948
NC_086019.1,chr1,7670000,41.3045,-0.0937089001055106
NC_086019.1,chr1,7690000,46.53425,0.076344551443482
NC_086019.1,chr1,7710000,53.359,0.271820295459362
NC_086019.1,chr1,7730000,61.47725,0.474371594237933
NC_086019.1,chr1,7750000,51.623,0.22455297417841
NC_086019.1,chr1,7770000,53.80675,0.283764379315973
NC_086019.1,chr1,7790000,51.81925,0.229974711741403
NC_086019.1,chr1,7810000,24.01825,-0.863511138349545
NC_086019.1,chr1,7830000,38.38175,-0.198273994509765
NC_086019.1,chr1,7850000,39.86575,-0.144235450733107
NC_086019.1,chr1,7870000,36.31,-0.277269398389514
NC_086019.1,chr1,7890000,45.81425,0.0540890030694089
NC_086019.1,chr1,7910000,50.44025,0.1914388918476
NC_086019.1,chr1,7930000,43.176,-0.0305264128337944
NC_086019.1,chr1,7950000,47.613,0.109059610780376
NC_086019.1,chr1,7970000,50.62,0.196520688173419
NC_086019.1,chr1,7990000,30.268,-0.53593648032104
NC_086019.1,chr1,8010000,37.82175,-0.21920370346031
NC_086019.1,chr1,8030000,41.52175,-0.0862309036695487
NC_086019.1,chr1,8050000,40.69075,-0.115046753116051
NC_086019.1,chr1,8070000,55.246,0.321501141456038
NC_086019.1,chr1,8090000,42.3835,-0.0569444898302833
NC_086019.1,chr1,8110000,46.68225,0.0808770705176589
NC_086019.1,chr1,8130000,48.26175,0.128382755349027
NC_086019.1,chr1,8150000,52.075,0.237009796845567
NC_086019.1,chr1,8170000,51.8525,0.230891284010865
NC_086019.1,chr1,8190000,47.19625,0.0965086942393013
NC_086019.1,chr1,8210000,24.762,-0.820398285872002
NC_086019.1,chr1,8230000,28.34125,-0.629233454762957
NC_086019.1,chr1,8250000,47.378,0.10199573996052
NC_086019.1,chr1,8270000,54.4695,0.301264208637279
NC_086019.1,chr1,8290000,48.16375,0.125480349681257
NC_086019.1,chr1,8310000,37.33525,-0.23763617020562
NC_086019.1,chr1,8330000,43.151,-0.0313524432025816
NC_086019.1,chr1,8350000,51.42475,0.219055216889519
NC_086019.1,chr1,8370000,44.73375,0.0200324561298002
NC_086019.1,chr1,8390000,47.83775,0.115783172749789
NC_086019.1,chr1,8410000,40.771,-0.112238752713901
NC_086019.1,chr1,8430000,56.26,0.347507441286977
NC_086019.1,chr1,8450000,70.43225,0.669074563084197
NC_086019.1,chr1,8470000,57.0295,0.366934783423803
NC_086019.1,chr1,8490000,50.57775,0.195327826902988
NC_086019.1,chr1,8510000,48.502,0.135473485426519
NC_086019.1,chr1,8530000,46.182,0.0654992237365031
NC_086019.1,chr1,8550000,54.35775,0.298328302904268
NC_086019.1,chr1,8570000,60.85,0.459696195776693
NC_086019.1,chr1,8590000,56.1795,0.345459883420694
NC_086019.1,chr1,8610000,46.87025,0.0866141377577545
NC_086019.1,chr1,8630000,28.6445,-0.614143496980304
NC_086019.1,chr1,8650000,38.6465,-0.188483822928903
NC_086019.1,chr1,8670000,46.24325,0.0673908982873279
NC_086019.1,chr1,8690000,46.0715,0.0620802018953818
NC_086019.1,chr1,8710000,36.0875,-0.286016307477462
NC_086019.1,chr1,8730000,43.7255,-0.0124886944339054
NC_086019.1,chr1,8750000,53.43825,0.273941566690102
NC_086019.1,chr1,8770000,50.76925,0.200726645094856
NC_086019.1,chr1,8790000,38.3975,-0.197689714069813
NC_086019.1,chr1,8810000,38.72825,-0.185474170907935
NC_086019.1,chr1,8830000,42.431,-0.0553473699626419
NC_086019.1,chr1,8850000,46.305,0.0692955075496852
NC_086019.1,chr1,8870000,33.77075,-0.380389383174716
NC_086019.1,chr1,8890000,31.759,-0.467665431174094
NC_086019.1,chr1,8910000,26.2545,-0.737585580647108
NC_086019.1,chr1,8930000,22.0555,-0.983887880696424
NC_086019.1,chr1,8950000,24.786,-0.819028313426676
NC_086019.1,chr1,8970000,35.9025,-0.293329614892183
NC_086019.1,chr1,8990000,37.88175,-0.216946655995496
NC_086019.1,chr1,9010000,40.78225,-0.111845544225792
NC_086019.1,chr1,9030000,40.928,-0.106760974420701
NC_086019.1,chr1,9050000,39.9525,-0.141138282881447
NC_086019.1,chr1,9070000,46.38325,0.07170543436975
NC_086019.1,chr1,9090000,36.76125,-0.259691075051689
NC_086019.1,chr1,9110000,35.505,-0.309169881158898
NC_086019.1,chr1,9130000,30.15025,-0.541468306747167
NC_086019.1,chr1,9150000,32.4335,-0.437811305952902
NC_086019.1,chr1,9170000,25.10075,-0.801181072049062
NC_086019.1,chr1,9190000,36.245,-0.279819196555998
NC_086019.1,chr1,9210000,49.42975,0.162532534950205
NC_086019.1,chr1,9230000,28.818,-0.605580458299263
NC_086019.1,chr1,9250000,25.86,-0.759016777765523
NC_086019.1,chr1,9270000,29.66725,-0.564383959488606
NC_086019.1,chr1,9290000,35.73175,-0.300112658209097
NC_086019.1,chr1,9310000,42.006,-0.0697006466428177
NC_086019.1,chr1,9330000,34.306,-0.358031122953877
NC_086019.1,chr1,9350000,35.94625,-0.291596766610581
NC_086019.1,chr1,9370000,32.32325,-0.442649053478446
NC_086019.1,chr1,9390000,39.44625,-0.159307073251987
NC_086019.1,chr1,9410000,37.6685,-0.224984657525624
NC_086019.1,chr1,9430000,45.16725,0.0337927677091095
NC_086019.1,chr1,9450000,52.05075,0.236344206248361
NC_086019.1,chr1,9470000,54.08125,0.291038286957709
NC_086019.1,chr1,9490000,46.87675,0.0868120863530767
NC_086019.1,chr1,9510000,37.75325,-0.221784823582054
NC_086019.1,chr1,9530000,34.80525,-0.337484415442595
