ID	chr	start	end	nmark	log2r	width	state
HeDe_WGS	chr1	102680000	103920000	63	0.2734	1240000	neutral
HeDe_WGS	chr1	103940000	104280000	18	-0.5134	340000	loss
HeDe_WGS	chr1	104300000	104440000	8	0.3808	140000	neutral
HeDe_WGS	chr1	104460000	105940000	75	-0.2556	1480000	neutral
HeDe_WGS	chr1	105960000	106940000	50	0.4007	980000	gain
HeDe_WGS	chr1	106960000	107560000	29	-0.7588	600000	loss
HeDe_WGS	chr1	107580000	109060000	74	0.5173	1480000	gain
HeDe_WGS	chr1	109080000	109200000	7	1.2806	120000	gain
HeDe_WGS	chr1	109240000	110040000	40	-0.2438	800000	neutral
HeDe_WGS	chr1	110060000	110760000	36	-0.3085	700000	neutral
HeDe_WGS	chr1	110780000	115700000	246	-0.8034	4920000	loss
HeDe_WGS	chr1	115720000	117840000	105	-0.0684	2120000	neutral
HeDe_WGS	chr1	117860000	118580000	37	-0.7562	720000	loss
HeDe_WGS	chr1	118620000	118860000	13	0.3342	240000	neutral
HeDe_WGS	chr1	118880000	119340000	24	-1.1426	460000	loss
HeDe_WGS	chr1	119360000	119600000	4	1.5943	240000	gain
HeDe_WGS	chr1	119640000	119780000	8	-1.0306	140000	loss
HeDe_WGS	chr1	119860000	120200000	8	1.4795	340000	gain
HeDe_WGS	chr1	120220000	126100000	280	-0.7402	5880000	loss
HeDe_WGS	chr1	126120000	126200000	5	0.4663	80000	gain
HeDe_WGS	chr1	126220000	126420000	11	-0.5936	200000	loss
HeDe_WGS	chr1	126440000	127300000	44	0.4031	860000	gain
HeDe_WGS	chr1	127320000	127360000	3	-1.0142	40000	loss
HeDe_WGS	chr1	127380000	129420000	103	0.4577	2040000	gain
HeDe_WGS	chr1	129440000	129640000	11	1.4178	200000	gain
HeDe_WGS	chr1	129660000	131960000	116	0.6171	2300000	gain
HeDe_WGS	chr1	131980000	132520000	27	-0.4413	540000	loss
HeDe_WGS	chr1	132540000	136180000	180	0.0966	3640000	neutral
HeDe_WGS	chr1	136200000	137760000	78	0.6929	1560000	gain
HeDe_WGS	chr1	137780000	139620000	92	0.1876	1840000	neutral
HeDe_WGS	chr1	139640000	141380000	87	-0.6924	1740000	loss
HeDe_WGS	chr1	141400000	141540000	7	0.1461	140000	neutral
HeDe_WGS	chr1	141560000	142100000	28	0.9694	540000	gain
HeDe_WGS	chr1	142120000	142460000	18	0.3515	340000	neutral
HeDe_WGS	chr1	142480000	142940000	24	-0.4862	460000	loss
HeDe_WGS	chr1	142960000	147180000	211	0.3838	4220000	neutral
HeDe_WGS	chr1	147200000	147960000	39	0.9622	760000	gain
HeDe_WGS	chr1	147980000	148260000	15	-0.4762	280000	loss
HeDe_WGS	chr1	148280000	150600000	115	-1.0018	2320000	loss
HeDe_WGS	chr1	150620000	152340000	86	-0.6444	1720000	loss
HeDe_WGS	chr1	152360000	153800000	73	0.2711	1440000	neutral
HeDe_WGS	chr1	153820000	155020000	61	-0.5119	1200000	loss
HeDe_WGS	chr1	155040000	155280000	13	-1.4971	240000	loss
HeDe_WGS	chr1	155300000	155500000	11	-0.4989	200000	loss
HeDe_WGS	chr1	155520000	156520000	50	0.0852	1000000	neutral
HeDe_WGS	chr1	156540000	159220000	133	-0.8407	2680000	loss
HeDe_WGS	chr1	159240000	159420000	10	-0.1532	180000	neutral
HeDe_WGS	chr1	159460000	159960000	25	0.3579	500000	neutral
HeDe_WGS	chr1	159980000	160600000	32	1.0471	620000	gain
HeDe_WGS	chr1	160620000	161320000	36	-0.66	700000	loss
HeDe_WGS	chr1	161340000	166720000	270	0.3198	5380000	neutral
HeDe_WGS	chr1	166740000	170600000	191	-0.4252	3860000	loss
HeDe_WGS	chr1	170620000	171100000	25	0.6244	480000	gain
HeDe_WGS	chr1	171120000	172100000	49	-0.8036	980000	loss
HeDe_WGS	chr1	172120000	172880000	39	-0.0349	760000	neutral
HeDe_WGS	chr1	172900000	173800000	46	0.4751	900000	gain
HeDe_WGS	chr1	173820000	174180000	19	-0.4176	360000	loss
HeDe_WGS	chr1	174200000	176860000	133	0.7716	2660000	gain
HeDe_WGS	chr1	176900000	177120000	12	-0.3704	220000	neutral
HeDe_WGS	chr1	177140000	177980000	43	0.6343	840000	gain
HeDe_WGS	chr1	178000000	178300000	16	-0.6514	300000	loss
HeDe_WGS	chr1	178320000	179500000	59	0.6879	1180000	gain
HeDe_WGS	chr1	179520000	179800000	15	-0.2517	280000	neutral
HeDe_WGS	chr1	179820000	184060000	213	0.4534	4240000	gain
HeDe_WGS	chr1	184080000	184600000	27	-0.5874	520000	loss
HeDe_WGS	chr1	184620000	187520000	146	0.6329	2900000	gain
HeDe_WGS	chr1	187540000	187760000	12	-0.2367	220000	neutral
HeDe_WGS	chr1	187780000	188460000	33	0.462	680000	gain
HeDe_WGS	chr1	188480000	188580000	6	-0.9803	100000	loss
HeDe_WGS	chr1	188600000	190700000	106	0.5525	2100000	gain
HeDe_WGS	chr1	190720000	192040000	67	0.1588	1320000	neutral
HeDe_WGS	chr1	192060000	195820000	188	0.5502	3760000	gain
HeDe_WGS	chr1	195840000	203140000	364	0.8791	7300000	gain
HeDe_WGS	chr1	203160000	204080000	47	0.4504	920000	gain
HeDe_WGS	chr1	204100000	204460000	19	0.1207	360000	neutral
HeDe_WGS	chr1	204480000	205180000	36	-0.5608	700000	loss
HeDe_WGS	chr1	205200000	212920000	385	0.1483	7720000	neutral
HeDe_WGS	chr1	212940000	213800000	44	-0.3544	860000	neutral
HeDe_WGS	chr1	213820000	214320000	26	0.3561	500000	neutral
HeDe_WGS	chr1	214340000	214840000	26	-0.7863	500000	loss
HeDe_WGS	chr1	214860000	215500000	33	0.3889	640000	neutral
HeDe_WGS	chr1	215520000	215920000	21	-0.7429	400000	loss
HeDe_WGS	chr1	215940000	216240000	16	0.6268	300000	gain
HeDe_WGS	chr1	216260000	216520000	14	-0.2019	260000	neutral
HeDe_WGS	chr1	216540000	217160000	32	0.5006	620000	gain
HeDe_WGS	chr1	217180000	218260000	55	-0.3182	1080000	neutral
HeDe_WGS	chr1	218280000	218480000	11	0.3962	200000	neutral
HeDe_WGS	chr1	218500000	220900000	121	-0.6478	2400000	loss
HeDe_WGS	chr1	220920000	222500000	76	-0.0387	1580000	neutral
HeDe_WGS	chr1	222520000	223320000	41	0.7183	800000	gain
HeDe_WGS	chr1	223340000	223680000	18	-0.3333	340000	neutral
HeDe_WGS	chr1	223700000	224480000	40	0.7242	780000	gain
HeDe_WGS	chr1	224520000	225400000	45	-0.2182	880000	neutral
HeDe_WGS	chr1	225420000	225940000	26	0.5321	520000	gain
HeDe_WGS	chr1	225960000	228200000	111	-0.1913	2240000	neutral
HeDe_WGS	chr1	228220000	229580000	68	0.2189	1360000	neutral
HeDe_WGS	chr1	229600000	235340000	288	0.4811	5740000	gain
HeDe_WGS	chr1	235360000	235780000	22	1.2074	420000	gain
HeDe_WGS	chr1	235800000	237500000	86	0.5362	1700000	gain
HeDe_WGS	chr1	237520000	238540000	51	-0.116	1020000	neutral
HeDe_WGS	chr1	238560000	241820000	163	0.7443	3260000	gain
HeDe_WGS	chr1	241840000	243160000	67	-0	1320000	neutral
HeDe_WGS	chr1	243180000	243620000	23	1.2831	440000	gain
HeDe_WGS	chr1	243640000	244960000	67	0.9284	1320000	gain
HeDe_WGS	chr1	244980000	245940000	49	1.3329	960000	gain
HeDe_WGS	chr1	245960000	246040000	5	0.468	80000	gain
HeDe_WGS	chr1	246060000	248900000	142	-0.528	2840000	loss
HeDe_WGS	chr1	248920000	249140000	12	0.9485	220000	gain
HeDe_WGS	chr1	249160000	249280000	7	1.8586	120000	gain
HeDe_WGS	chr1	249300000	250200000	46	1.0044	900000	gain
HeDe_WGS	chr1	250220000	250440000	11	0.1227	220000	neutral
HeDe_WGS	chr1	250460000	251780000	67	0.9324	1320000	gain
HeDe_WGS	chr1	251800000	252180000	20	0.2552	380000	neutral
HeDe_WGS	chr1	252200000	257160000	249	0.9714	4960000	gain
HeDe_WGS	chr1	257180000	258180000	50	-0.769	1000000	loss
HeDe_WGS	chr1	258200000	258920000	36	-0.0135	720000	neutral
HeDe_WGS	chr1	258940000	259600000	34	0.5586	660000	gain
HeDe_WGS	chr1	259620000	260520000	45	-1.4831	900000	loss
HeDe_WGS	chr1	260540000	260860000	17	-0.143	320000	neutral
HeDe_WGS	chr1	260880000	261840000	49	0.2065	960000	neutral
HeDe_WGS	chr1	261860000	263820000	99	0.7839	1960000	gain
HeDe_WGS	chr1	263840000	266340000	126	1.1658	2500000	gain
HeDe_WGS	chr1	266360000	266640000	15	0.7606	280000	gain
HeDe_WGS	chr1	266660000	270320000	183	0.4316	3660000	gain
HeDe_WGS	chr1	270340000	270500000	9	-0.543	160000	loss
HeDe_WGS	chr10	0	580000	30	-2.0574	580000	loss
HeDe_WGS	chr10	600000	920000	17	-0.9296	320000	loss
HeDe_WGS	chr10	940000	2120000	60	0.5828	1180000	gain
HeDe_WGS	chr10	2140000	3820000	85	0.0257	1680000	neutral
HeDe_WGS	chr10	3840000	11820000	400	0.3878	7980000	neutral
HeDe_WGS	chr10	11840000	15500000	182	-0.137	3660000	neutral
HeDe_WGS	chr10	15520000	18280000	139	0.2911	2760000	neutral
HeDe_WGS	chr10	18300000	21520000	162	0.6174	3220000	gain
HeDe_WGS	chr10	21540000	22180000	32	0.1554	640000	neutral
HeDe_WGS	chr10	22200000	25500000	162	-0.5275	3300000	loss
HeDe_WGS	chr10	25520000	25780000	14	0.2978	260000	neutral
HeDe_WGS	chr10	25800000	28040000	110	-0.5437	2240000	loss
HeDe_WGS	chr10	28060000	31700000	183	0.6243	3640000	gain
HeDe_WGS	chr10	31720000	33600000	90	-0.1049	1880000	neutral
HeDe_WGS	chr10	33620000	33860000	13	0.6805	240000	gain
HeDe_WGS	chr10	33880000	34440000	28	-0.1274	560000	neutral
HeDe_WGS	chr10	34460000	39020000	228	0.5023	4560000	gain
HeDe_WGS	chr10	39040000	39260000	11	-0.3114	220000	neutral
HeDe_WGS	chr10	39280000	41020000	88	0.5434	1740000	gain
HeDe_WGS	chr10	41040000	41720000	35	0.0702	680000	neutral
HeDe_WGS	chr10	41740000	42020000	15	1.2588	280000	gain
HeDe_WGS	chr10	42040000	42300000	14	0.7158	260000	gain
HeDe_WGS	chr10	42320000	42580000	14	0.1298	260000	neutral
HeDe_WGS	chr10	42600000	43140000	28	0.6927	540000	gain
HeDe_WGS	chr10	43160000	44680000	77	-0.0604	1520000	neutral
HeDe_WGS	chr10	44700000	51760000	353	0.6094	7060000	gain
HeDe_WGS	chr10	51780000	52040000	13	-0.2843	260000	neutral
HeDe_WGS	chr10	52060000	54120000	104	0.602	2060000	gain
HeDe_WGS	chr10	54140000	55940000	91	0.1434	1800000	neutral
HeDe_WGS	chr10	55960000	58520000	129	0.4888	2560000	gain
HeDe_WGS	chr10	58540000	59460000	47	-0.7712	920000	loss
HeDe_WGS	chr10	59480000	59720000	13	-0.1217	240000	neutral
HeDe_WGS	chr10	59740000	62480000	138	0.4815	2740000	gain
HeDe_WGS	chr10	62500000	63360000	43	-0.0791	860000	neutral
HeDe_WGS	chr10	63380000	66680000	166	0.4717	3300000	gain
HeDe_WGS	chr10	66700000	67560000	44	1.1038	860000	gain
HeDe_WGS	chr10	67580000	75900000	416	0.5652	8320000	gain
HeDe_WGS	chr10	75920000	75940000	2	-1.5477	20000	loss
HeDe_WGS	chr10	75960000	76460000	25	0.1435	500000	neutral
HeDe_WGS	chr10	76480000	78760000	114	-0.666	2280000	loss
HeDe_WGS	chr10	78780000	79560000	40	0.738	780000	gain
HeDe_WGS	chr10	79580000	80200000	32	0.1189	620000	neutral
HeDe_WGS	chr10	80220000	80280000	4	2.2188	60000	gain
HeDe_WGS	chr10	80300000	84980000	235	0.1538	4680000	neutral
HeDe_WGS	chr10	85000000	85400000	21	-0.531	400000	loss
HeDe_WGS	chr10	85420000	91800000	320	0.2111	6380000	neutral
HeDe_WGS	chr10	91820000	93800000	100	0.5965	1980000	gain
HeDe_WGS	chr10	93820000	94160000	18	-0.0149	340000	neutral
HeDe_WGS	chr10	94180000	94340000	9	0.9539	160000	gain
HeDe_WGS	chr10	94360000	95180000	42	0.3553	820000	neutral
HeDe_WGS	chr10	95200000	95320000	7	0.9695	120000	gain
HeDe_WGS	chr10	95340000	97500000	109	0.2094	2160000	neutral
HeDe_WGS	chr10	97520000	98480000	49	0.4958	960000	gain
HeDe_WGS	chr10	98500000	100520000	102	0.0624	2020000	neutral
HeDe_WGS	chr10	100540000	100880000	18	0.8223	340000	gain
HeDe_WGS	chr10	100900000	101120000	12	-0.5987	220000	loss
HeDe_WGS	chr10	101140000	101480000	18	0.3097	340000	neutral
HeDe_WGS	chr10	101500000	105320000	192	-0.3627	3820000	neutral
HeDe_WGS	chr10	105340000	105560000	12	0.8566	220000	gain
HeDe_WGS	chr10	105580000	106620000	53	-0.3015	1040000	neutral
HeDe_WGS	chr10	106640000	107000000	19	0.4873	360000	gain
HeDe_WGS	chr10	107020000	107560000	28	1.1426	540000	gain
HeDe_WGS	chr10	107580000	107700000	7	-0.1872	120000	neutral
HeDe_WGS	chr11	0	180000	10	0.2733	180000	neutral
HeDe_WGS	chr11	200000	280000	5	-2.5001	80000	loss
HeDe_WGS	chr11	300000	940000	33	-0.7943	640000	loss
HeDe_WGS	chr11	960000	2480000	73	0.1123	1520000	neutral
HeDe_WGS	chr11	2500000	2540000	3	-2.348	40000	loss
HeDe_WGS	chr11	2560000	7240000	233	0.0682	4680000	neutral
HeDe_WGS	chr11	7260000	7280000	2	-1.5857	20000	loss
HeDe_WGS	chr11	7300000	9340000	103	-2.4266	2040000	loss
HeDe_WGS	chr11	9360000	10860000	76	-2.3193	1500000	loss
HeDe_WGS	chr11	10880000	13440000	129	-2.1825	2560000	loss
HeDe_WGS	chr11	13460000	15700000	112	-0.7598	2240000	loss
HeDe_WGS	chr11	15720000	18900000	153	-0.433	3180000	loss
HeDe_WGS	chr11	18920000	21940000	151	-0.763	3020000	loss
HeDe_WGS	chr11	21960000	23060000	53	-0.1721	1100000	neutral
HeDe_WGS	chr11	23080000	24020000	48	-0.5799	940000	loss
HeDe_WGS	chr11	24040000	24580000	26	-0.1918	540000	neutral
HeDe_WGS	chr11	24600000	25360000	39	0.2929	760000	neutral
HeDe_WGS	chr11	25380000	28180000	132	-0.2482	2800000	neutral
HeDe_WGS	chr11	28200000	29220000	50	0.3045	1020000	neutral
HeDe_WGS	chr11	29240000	30320000	53	-0.2718	1080000	neutral
HeDe_WGS	chr11	30340000	30880000	28	0.3153	540000	neutral
HeDe_WGS	chr11	30900000	37040000	302	-0.5686	6140000	loss
HeDe_WGS	chr11	37060000	37700000	33	0.5732	640000	gain
HeDe_WGS	chr11	37720000	39920000	110	-0.3989	2200000	neutral
HeDe_WGS	chr11	39940000	40720000	39	0.5676	780000	gain
HeDe_WGS	chr11	40740000	42200000	74	-0.1425	1460000	neutral
HeDe_WGS	chr11	42220000	50160000	398	0.6584	7940000	gain
HeDe_WGS	chr11	50180000	50560000	20	1.3436	380000	gain
HeDe_WGS	chr11	50580000	50840000	14	0.6985	260000	gain
HeDe_WGS	chr11	50860000	51260000	21	0.0142	400000	neutral
HeDe_WGS	chr11	51280000	53560000	113	-0.6478	2280000	loss
HeDe_WGS	chr11	53580000	54220000	33	-0.1456	640000	neutral
HeDe_WGS	chr11	54240000	54380000	8	0.9069	140000	gain
HeDe_WGS	chr11	54400000	55340000	48	-0.6029	940000	loss
HeDe_WGS	chr11	55360000	56460000	54	0.2447	1100000	neutral
HeDe_WGS	chr11	56480000	56700000	12	1.1966	220000	gain
HeDe_WGS	chr11	56720000	58360000	81	0.084	1640000	neutral
HeDe_WGS	chr11	58380000	61960000	175	-0.496	3580000	loss
HeDe_WGS	chr11	61980000	62200000	12	0.6047	220000	gain
HeDe_WGS	chr11	62220000	63460000	62	-0.4538	1240000	loss
HeDe_WGS	chr11	63480000	65100000	81	0.4718	1620000	gain
HeDe_WGS	chr11	65120000	66060000	46	-0.023	940000	neutral
HeDe_WGS	chr11	66080000	67520000	73	-0.651	1440000	loss
HeDe_WGS	chr11	67540000	67820000	15	-0.0186	280000	neutral
HeDe_WGS	chr11	67840000	68700000	43	0.6437	860000	gain
HeDe_WGS	chr11	68720000	69020000	15	-0.2	300000	neutral
HeDe_WGS	chr11	69040000	70900000	94	0.5585	1860000	gain
HeDe_WGS	chr11	70920000	71800000	44	-0.1839	880000	neutral
HeDe_WGS	chr11	71820000	72340000	27	0.3091	520000	neutral
HeDe_WGS	chr11	72360000	75000000	126	-0.307	2640000	neutral
HeDe_WGS	chr11	75020000	76780000	89	0.7448	1760000	gain
HeDe_WGS	chr11	76800000	77140000	18	-0.5029	340000	loss
HeDe_WGS	chr11	77160000	77860000	36	0.3784	700000	neutral
HeDe_WGS	chr11	77880000	78100000	12	-0.2369	220000	neutral
HeDe_WGS	chr11	78120000	79700000	80	0.5934	1580000	gain
HeDe_WGS	chr11	79720000	80240000	27	1.2633	520000	gain
HeDe_WGS	chr11	80260000	85980000	286	0.5715	5720000	gain
HeDe_WGS	chr11	86000000	87540000	77	-0.2428	1540000	neutral
HeDe_WGS	chr11	87560000	87780000	11	0.7865	220000	gain
HeDe_WGS	chr11	87800000	88820000	51	0.2888	1020000	neutral
HeDe_WGS	chr11	88840000	89020000	9	1.1925	180000	gain
HeDe_WGS	chr11	89040000	89160000	7	-0.7537	120000	loss
HeDe_WGS	chr11	89180000	89940000	38	0.5593	760000	gain
HeDe_WGS	chr11	89960000	91840000	94	0.8842	1880000	gain
HeDe_WGS	chr11	91860000	93620000	89	0.5748	1760000	gain
HeDe_WGS	chr11	93640000	93880000	13	-0.1463	240000	neutral
HeDe_WGS	chr11	93900000	94680000	40	0.431	780000	gain
HeDe_WGS	chr11	94700000	95500000	41	-0.7271	800000	loss
HeDe_WGS	chr11	95520000	95840000	17	0.4365	320000	gain
HeDe_WGS	chr11	95860000	96420000	29	-0.1567	560000	neutral
HeDe_WGS	chr11	96440000	97640000	61	0.492	1200000	gain
HeDe_WGS	chr11	97660000	97900000	13	-0.6199	240000	loss
HeDe_WGS	chr11	97920000	98340000	21	0.2893	420000	neutral
HeDe_WGS	chr11	98360000	99740000	70	-0.4942	1380000	loss
HeDe_WGS	chr12	20000	4200000	204	-0.5768	4180000	loss
HeDe_WGS	chr12	4220000	4620000	10	1.6625	400000	gain
HeDe_WGS	chr12	4840000	5800000	49	0.5965	960000	gain
HeDe_WGS	chr12	5820000	5980000	9	-0.2637	160000	neutral
HeDe_WGS	chr12	6000000	6240000	13	0.435	240000	gain
HeDe_WGS	chr12	6260000	6660000	21	-0.2701	400000	neutral
HeDe_WGS	chr12	6680000	6740000	4	0.9515	60000	gain
HeDe_WGS	chr12	6760000	7200000	23	-0.7459	440000	loss
HeDe_WGS	chr12	7220000	7680000	24	0.1849	460000	neutral
HeDe_WGS	chr12	7700000	8600000	46	-0.9122	900000	loss
HeDe_WGS	chr12	8620000	8780000	9	0.1627	160000	neutral
HeDe_WGS	chr12	8800000	9400000	31	-0.8279	600000	loss
HeDe_WGS	chr12	9420000	12800000	170	0.3164	3380000	neutral
HeDe_WGS	chr12	12820000	12920000	6	-2.0694	100000	loss
HeDe_WGS	chr12	12940000	13960000	52	0.2836	1020000	neutral
HeDe_WGS	chr12	13980000	14200000	12	-0.5713	220000	loss
HeDe_WGS	chr12	14220000	16560000	118	0.1799	2340000	neutral
HeDe_WGS	chr12	16580000	16640000	4	1.9464	60000	gain
HeDe_WGS	chr12	16660000	17280000	32	-0.2212	620000	neutral
HeDe_WGS	chr12	17300000	18960000	84	0.3839	1660000	neutral
HeDe_WGS	chr12	18980000	19260000	15	-0.5136	280000	loss
HeDe_WGS	chr12	19280000	19720000	23	0.2844	440000	neutral
HeDe_WGS	chr12	19740000	19900000	9	-0.1579	160000	neutral
HeDe_WGS	chr12	19920000	20480000	29	-0.5086	560000	loss
HeDe_WGS	chr12	20500000	20980000	25	-0.0027	480000	neutral
HeDe_WGS	chr12	21000000	21040000	3	1.3802	40000	gain
HeDe_WGS	chr12	21060000	21380000	17	0.319	320000	neutral
HeDe_WGS	chr12	21400000	21960000	29	-0.8445	560000	loss
HeDe_WGS	chr12	21980000	22540000	28	0.2588	560000	neutral
HeDe_WGS	chr12	22560000	22680000	7	-0.5776	120000	loss
HeDe_WGS	chr12	22700000	23160000	18	-2.4675	460000	loss
HeDe_WGS	chr12	23360000	23460000	6	-0.2215	100000	neutral
HeDe_WGS	chr12	23480000	24480000	38	-3.4086	1000000	loss
HeDe_WGS	chr12	24500000	25740000	63	-0.0487	1240000	neutral
HeDe_WGS	chr12	25760000	26020000	14	1.0536	260000	gain
HeDe_WGS	chr12	26040000	26940000	46	-0.0127	900000	neutral
HeDe_WGS	chr12	26960000	27000000	3	1.3827	40000	gain
HeDe_WGS	chr12	27020000	28420000	71	-0.0731	1400000	neutral
HeDe_WGS	chr12	28440000	29880000	73	0.3105	1440000	neutral
HeDe_WGS	chr12	29900000	30640000	38	0.6825	740000	gain
HeDe_WGS	chr12	30660000	33940000	165	0.2844	3280000	neutral
HeDe_WGS	chr12	33960000	36720000	139	0.6923	2760000	gain
HeDe_WGS	chr12	36740000	37100000	19	-0.1232	360000	neutral
HeDe_WGS	chr12	37120000	37300000	10	-1.0018	180000	loss
HeDe_WGS	chr12	37320000	40080000	139	0.1504	2760000	neutral
HeDe_WGS	chr12	40100000	40400000	16	-0.5153	300000	loss
HeDe_WGS	chr12	40420000	41480000	54	0.2414	1060000	neutral
HeDe_WGS	chr12	41500000	41780000	15	-0.6316	280000	loss
HeDe_WGS	chr12	41800000	41960000	9	-0.0373	160000	neutral
HeDe_WGS	chr12	41980000	42100000	7	-0.8288	120000	loss
HeDe_WGS	chr12	42120000	46600000	225	0.1553	4480000	neutral
HeDe_WGS	chr12	46620000	46740000	7	-0.8586	120000	loss
HeDe_WGS	chr12	46760000	47280000	27	0.0864	520000	neutral
HeDe_WGS	chr12	47300000	51100000	191	-0.3293	3800000	neutral
HeDe_WGS	chr12	51120000	52200000	55	0.4628	1080000	gain
HeDe_WGS	chr12	52220000	52300000	5	-1.0985	80000	loss
HeDe_WGS	chr13	0	300000	14	-0.9028	300000	loss
HeDe_WGS	chr13	320000	640000	17	-0.0974	320000	neutral
HeDe_WGS	chr13	660000	4140000	175	-1.1257	3480000	loss
HeDe_WGS	chr13	4160000	10580000	321	-0.2051	6420000	neutral
HeDe_WGS	chr13	10600000	11040000	18	-1.5293	440000	loss
HeDe_WGS	chr13	11060000	11180000	7	-1.697	120000	loss
HeDe_WGS	chr13	11200000	21480000	513	-0.1937	10280000	neutral
HeDe_WGS	chr13	21500000	22000000	26	1.1591	500000	gain
HeDe_WGS	chr13	22020000	22340000	17	0.3281	320000	neutral
